TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer																																																																																																																																																																									
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType																																																																																																																																																																									
DATA	GE2_107_Sep09 (Read Only)	29/09/2009 17:04	Agilent Technologies Scanner G2505C US10020348	2	04-20-2011 11:40:45	5	5	a6b42c92-f233-40bc-992b-d73ccd42288c	1	014850_D_F_20100430	30/04/2010 00:00	1	1	532	85	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	251485065459_1_2		D:\Theres\New Folder (2)\\US10020348_251485065459_S01.tif	US10020348_251485065459_S01	97573846-87b5-44f9-a86a-c2d71ffb6354	014850_D_F_20100430.xml	20/04/2011 11:57	rmharev	CHEMSTATION01	10.7.1.1	0	1	0																																																																																																																																																																									
*																																																																																																																																																																																																												
TYPE	float	float	float	integer	integer	float	float	float	integer	integer	float	float	float	float	float	float	integer	float	float	float	integer	float	float	integer	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	float	float	integer	integer	float	float	integer	integer	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	integer	float	float	float	float	float	float	float	float	integer	integer	integer	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	text	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	float	integer	text	integer	integer	float	float	float	float	boolean	float	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
DATA	6	1	6	66	1	DarkCorner	DarkCorner	3569.58	209.573	0.00E+00	6.36E-01	1.00E+00	3.97E+00	2.56E+00	3.96E+00	2.55E+00	43	57	43	55	7.39E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	-0.613917	-2.20346	0	0	0	0	65	43.2073	55.9194																																																																																																																																																																		
DATA	7	1	7	66	1	DarkCorner	DarkCorner	3595.42	209.573	0.00E+00	6.36E-01	1.00E+00	3.99E+00	2.57E+00	3.98E+00	2.56E+00	41.5	56.5	43	56	7.34E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	-2.42685	-1.63043	0	0	0	0	65	43.1705	56.436																																																																																																																																																																		
DATA	8	1	8	66	1	DarkCorner	DarkCorner	3620.5	209.648	0.00E+00	6.36E-01	1.00E+00	4.01E+00	2.58E+00	4.00E+00	2.57E+00	39	52	43	55	7.17E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	-3.85662	-6.15845	0	0	0	0	65	43.0174	55.2761																																																																																																																																																																		
DATA	9	1	9	66	1	DarkCorner	DarkCorner	3645.91	209.935	0.00E+00	6.36E-01	1.00E+00	4.03E+00	2.59E+00	4.01E+00	2.58E+00	39.5	56	43	55	7.63E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	-4.85566	-2.30396	0	0	0	0	65	43.444	55.7703																																																																																																																																																																		
DATA	10	1	10	66	1	DarkCorner	DarkCorner	3671.5	210	0.00E+00	6.36E-01	1.00E+00	4.04E+00	2.60E+00	4.03E+00	2.59E+00	43	59	43	54	7.33E+00	1.10E+01	0	0	0	0	0	0	0	0	0	0	0	-2.34515	-1.20001	0	0	0	0	65	43.5409	53.8743																																																																																																																																																																		
DATA	11	1	11	66	1	DarkCorner	DarkCorner	3696.5	210	0.00E+00	6.36E-01	1.00E+00	4.06E+00	2.61E+00	4.04E+00	2.60E+00	41	56.5	43	53	7.09E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	-3.25134	-2.74777	0	0	0	0	65	43.1968	53.7753																																																																																																																																																																		
DATA	12	1	12	0	0	A_24_P66027	NM_004900	3722.03	210.349	7.48E-02	6.18E-02	2.26E-01	1.35E+03	1.60E+03	1.35E+02	1.60E+02	674.5	1876.5	42	55	7.35E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	654.207	1901.91	1	1	1	1	52.0157	42.611	55.0039																																																																																																																																																																		
DATA	13	1	13	0	0	A_32_P77178	AA085955	3747.5	210.352	-3.10E-01	8.00E-02	1.05E-04	7.15E+01	3.50E+01	8.40E+00	4.25E+00	80	102	42	55	7.13E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	34.4415	41.7166	1	1	1	1	57.5363	42.6498	55.6245																																																																																																																																																																		
DATA	14	1	14	0	0	A_23_P212522	NM_014616	3772.7	210.277	-2.44E-01	6.54E-02	1.92E-04	1.08E+03	6.14E+02	1.08E+02	6.15E+01	543.5	761.5	42	56	7.31E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	519.766	727.107	1	1	1	1	51.4001	41.9321	56.2435																																																																																																																																																																		
DATA	15	1	15	0	0	A_24_P934473	BX537921	3798.5	210.726	-2.94E-01	1.33E-01	2.71E-02	2.61E+01	1.33E+01	5.10E+00	2.80E+00	57	73	42	55	7.39E+00	1.28E+01	0	0	0	0	0	0	0	0	0	0	0	12.6811	15.5545	1	1	1	1	51.7088	42.4094	55.6803																																																																																																																																																																		
DATA	16	1	16	0	0	A_24_P9671	NM_001539	3823.5	210.5	-3.33E-02	6.15E-02	5.89E-01	2.63E+04	2.43E+04	2.63E+03	2.43E+03	12006	27395	41	55	7.28E+00	1.27E+01	0	0	0	0	0	0	0	0	0	0	0	12387.3	29134.1	1	1	1	1	57.5363	41.9355	56.4082																																																																																																																																																																		
DATA	17	1	17	0	0	A_32_P29551	THC2741789	3849.26	210.63	1.10E-01	8.91E-02	2.18E-01	3.04E+01	3.91E+01	5.39E+00	4.61E+00	59	104.5	41	55	7.35E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	14.5137	46.0613	1	1	1	1	51.0895	41.9807	55.736																																																																																																																																																																		
DATA	18	1	18	0	0	A_24_P801451	NM_006709	3874.43	210.851	1.77E-02	8.13E-02	8.28E-01	4.07E+01	4.23E+01	6.04E+00	4.89E+00	63	105	42	55	7.56E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	19.3285	49.7996	1	1	1	1	48.5334	42.1051	54.996																																																																																																																																																																		
DATA	19	1	19	0	0	A_32_P30710	NM_000978	3899.58	210.573	2.40E-02	6.15E-02	6.96E-01	4.84E+04	5.12E+04	4.84E+03	5.12E+03	21119.5	59396.5	42	56	7.53E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	22092.3	62465	1	1	1	1	57.5363	41.7802	56.4105																																																																																																																																																																		
DATA	20	1	20	0	0	A_32_P89523	T12590	3925.73	210.393	-3.25E-02	1.71E-01	8.49E-01	1.43E+01	1.33E+01	4.62E+00	2.84E+00	52	75	41	55	7.38E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	6.92144	15.2054	1	1	0	1	52.9257	41.4652	55.4482																																																																																																																																																																		
DATA	21	1	21	0	0	A_24_P704878	A_24_P704878	3950.5	211	0.00E+00	6.37E-01	1.00E+00	4.18E+00	2.67E+00	4.17E+00	2.66E+00	46	57	41	53	7.36E+00	1.12E+01	0	0	0	0	0	0	0	0	0	0	0	0.380159	-1.185	0	0	0	0	65	41.5723	53.8297																																																																																																																																																																		
DATA	22	1	22	0	0	A_32_P86028	NM_001017	3976	211	-1.18E-01	6.24E-02	5.87E-02	4.10E+04	3.13E+04	4.10E+03	3.13E+03	17575	34833	41	54	6.99E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	18823.7	37373.5	1	1	1	1	54.9904	40.8596	54.9867																																																																																																																																																																		
DATA	23	1	23	0	0	A_24_P470079	AK021474	4002.08	211.222	3.09E-01	2.64E-01	2.42E-01	5.90E+00	1.20E+01	4.38E+00	2.85E+00	46.5	71	40	55	7.59E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	2.88291	13.4163	1	1	0	0	45.4864	41.0749	55.4952																																																																																																																																																																		
DATA	24	1	24	0	0	A_23_P65830	NM_198527	4026.63	211.36	3.99E-02	6.16E-02	5.17E-01	1.21E+03	1.32E+03	1.21E+02	1.32E+02	587.5	1508	40	55	7.46E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	567.238	1527.87	1	1	1	1	48.8603	40.7294	55.6314																																																																																																																																																																		
DATA	25	1	25	0	0	A_23_P109143	NM_000311	4052.27	211.38	2.42E-01	6.53E-02	2.15E-04	4.08E+03	7.12E+03	4.08E+02	7.12E+02	1877.5	7840	40	54	7.69E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	1904.11	8247.06	1	1	1	1	50.7771	40.8655	54.9669																																																																																																																																																																		
DATA	26	1	26	0	0	A_24_P595567	AK091028	4077.58	211.427	1.09E-01	4.50E-01	8.08E-01	4.30E+00	5.53E+00	4.29E+00	2.71E+00	41.5	64.5	40	55	7.65E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	-2.21457	6.0076	0	1	0	0	65	40.386	55.3704																																																																																																																																																																		
DATA	27	1	27	0	0	A_24_P391591	AK057596	4102.63	211.5	-1.77E-01	6.61E-02	7.52E-03	1.50E+02	9.98E+01	1.57E+01	1.03E+01	110	173	40	55	7.45E+00	1.23E+01	0	0	0	0	0	0	0	0	0	0	0	69.3088	115.654	1	1	1	1	49.8279	40.4258	55.6975																																																																																																																																																																		
DATA	28	1	28	0	0	A_24_P799245	A_24_P799245	4128.5	211.5	0.00E+00	6.37E-01	1.00E+00	4.26E+00	2.71E+00	4.25E+00	2.70E+00	40	56	40	55	7.29E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	-5.3282	-2.52801	0	0	0	0	65	40.7162	55.381																																																																																																																																																																		
DATA	29	1	29	0	0	A_24_P932757	AY358648	4153.58	211.573	0.00E+00	6.38E-01	1.00E+00	4.27E+00	2.72E+00	4.26E+00	2.71E+00	37	57	40	55	7.35E+00	1.13E+01	0	0	0	0	0	0	0	0	0	0	0	-6.75489	-2.64018	0	0	0	0	65	40.2291	55.6932																																																																																																																																																																		
DATA	30	1	30	0	0	A_24_P835500	NM_001034841	4179.38	211.5	1.39E-01	6.27E-02	2.69E-02	9.31E+03	1.28E+04	9.31E+02	1.28E+03	4108	14231.5	40	55	7.18E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	4278.93	14708.5	1	1	1	1	49.8279	39.7911	55.147																																																																																																																																																																		
DATA	31	1	31	0	0	A_23_P54340	NM_032445	4204.9	211.236	4.38E-01	3.00E-01	1.44E-01	4.43E+00	1.22E+01	4.41E+00	2.91E+00	44	73	39	54	7.20E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	-1.39392	13.2455	0	1	0	0	53.2255	39.7682	54.9327																																																																																																																																																																		
DATA	32	1	32	0	0	A_23_P67555	NM_004886	4229.94	211.976	7.73E-02	6.22E-02	2.14E-01	2.93E+02	3.50E+02	2.96E+01	3.51E+01	177	455	39	55	6.81E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	133.677	399.254	1	1	1	1	50.7771	39.6739	55.8428																																																																																																																																																																		
DATA	33	1	33	0	0	A_24_P286412	NM_014478	4255.2	212	-1.28E-01	6.42E-02	4.68E-02	1.81E+02	1.35E+02	1.87E+01	1.37E+01	119.5	207.5	39	54	7.38E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	82.2863	153.972	1	1	1	1	49.1849	39.7359	54.9262																																																																																																																																																																		
DATA	34	1	34	0	0	A_24_P229084	NM_021185	4280.5	212	0.00E+00	5.76E-01	1.00E+00	4.36E+00	3.44E+00	4.34E+00	2.75E+00	41.5	62.5	40	55	7.05E+00	1.10E+01	0	0	0	0	0	0	0	0	0	0	0	-3.00737	3.62458	0	1	0	0	65	39.6862	54.9825																																																																																																																																																																		
DATA	35	1	35	0	0	A_23_P202696	NM_016506	4306.26	212.269	1.04E-01	6.23E-02	9.63E-02	5.49E+02	6.96E+02	5.51E+01	6.97E+01	289.5	804	40	54	6.80E+00	1.18E+01	0	0	0	0	0	0	0	0	0	0	0	249.664	784.757	1	1	1	1	50.1463	39.5308	54.2763																																																																																																																																																																		
DATA	36	1	36	0	0	A_24_P927716	NR_003542	4331.58	212.427	1.86E-01	4.10E-01	6.49E-01	4.44E+00	6.82E+00	4.43E+00	2.79E+00	40	66	39	54	6.97E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	-4.12653	7.25836	0	1	0	0	65	39.016	54.874																																																																																																																																																																		
DATA	37	1	37	0	0	A_23_P124837	NM_002332	4357.25	212.494	2.36E-01	7.46E-02	1.54E-03	4.81E+01	8.29E+01	6.74E+00	8.68E+00	64	145	40	55	6.93E+00	1.12E+01	0	0	0	0	0	0	0	0	0	0	0	21.6676	93.3047	1	1	1	1	49.8279	39.98	54.7126																																																																																																																																																																		
DATA	38	1	38	0	0	A_24_P329635	NM_000368	4382.38	212.237	-4.11E-02	6.15E-02	5.04E-01	1.88E+03	1.71E+03	1.88E+02	1.71E+02	843	1834	39	56	6.59E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	848.852	1904.97	1	1	1	1	49.1849	39.3534	55.6165																																																																																																																																																																		
