TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer																																																																																																																																																																									
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType																																																																																																																																																																									
DATA	GE2_107_Sep09 (Read Only)	29/09/2009 17:04	Agilent Technologies Scanner G2505C US10020348	2	04-20-2011 11:40:45	5	5	a6b42c92-f233-40bc-992b-d73ccd42288c	1	014850_D_F_20100430	30/04/2010 00:00	1	1	532	85	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	251485065459_1_1		D:\Theres\New Folder (2)\\US10020348_251485065459_S01.tif	US10020348_251485065459_S01	97573846-87b5-44f9-a86a-c2d71ffb6354	014850_D_F_20100430.xml	20/04/2011 11:57	rmharev	CHEMSTATION01	10.7.1.1	0	1	0																																																																																																																																																																									
*																																																																																																																																																																																																												
TYPE	float	float	float	integer	integer	float	float	float	integer	integer	float	float	float	float	float	float	integer	float	float	float	integer	float	float	integer	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	float	float	integer	integer	float	float	integer	integer	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	integer	float	float	float	float	float	float	float	float	integer	integer	integer	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	text	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	float	integer	text	integer	integer	float	float	float	float	boolean	float	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
DATA	6	1	6	66	1	DarkCorner	DarkCorner	420.5	199	0.00E+00	6.27E-01	1.00E+00	6.23E+00	4.40E+00	6.20E+00	4.38E+00	44	54	40	53	6.99E+00	1.12E+01	0	0	0	0	0	0	0	0	0	0	0	-2.40209	-4.57885	0	0	0	0	65	40.9941	54.1292																																																																																																																																																																		
DATA	7	1	7	66	1	DarkCorner	DarkCorner	446.088	199.386	0.00E+00	6.27E-01	1.00E+00	6.27E+00	4.42E+00	6.25E+00	4.41E+00	42	53	40	53	6.88E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	-3.73161	-3.97165	0	0	0	0	65	40.9273	53.7662																																																																																																																																																																		
DATA	8	1	8	66	1	DarkCorner	DarkCorner	471.418	199.427	0.00E+00	6.27E-01	1.00E+00	6.32E+00	4.45E+00	6.29E+00	4.43E+00	42	51	40	54	6.72E+00	1.23E+01	0	0	0	0	0	0	0	0	0	0	0	-3.22303	-4.68182	0	0	0	0	65	40.5279	54.6255																																																																																																																																																																		
DATA	9	1	9	66	1	DarkCorner	DarkCorner	496.667	199.5	0.00E+00	6.27E-01	1.00E+00	6.36E+00	4.47E+00	6.34E+00	4.45E+00	43	54	40	52	7.12E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	-1.88726	-5.18426	0	0	0	0	65	40.4162	53.2032																																																																																																																																																																		
DATA	10	1	10	66	1	DarkCorner	DarkCorner	522.333	199.5	0.00E+00	6.28E-01	1.00E+00	6.40E+00	4.49E+00	6.37E+00	4.47E+00	45.5	55.5	41	53	7.32E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	-0.142219	-3.09957	0	0	0	0	65	41.0939	54.1448																																																																																																																																																																		
DATA	11	1	11	66	1	DarkCorner	DarkCorner	547.5	199.5	0.00E+00	6.28E-01	1.00E+00	6.43E+00	4.51E+00	6.41E+00	4.49E+00	42	56	41	53	6.94E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	-3.60633	-2.60431	0	0	0	0	65	41.2027	53.8337																																																																																																																																																																		
DATA	12	1	12	0	0	A_24_P66027	NM_004900	573	199.545	-3.01E-01	6.74E-02	8.11E-06	1.38E+03	6.93E+02	1.39E+02	6.94E+01	612	620	41	53	6.88E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	573.271	580.505	1	1	1	1	55.8519	41.3112	54.074																																																																																																																																																																		
DATA	13	1	13	0	0	A_32_P77178	AA085955	598.25	199.375	2.55E-02	1.04E-01	8.07E-01	4.12E+01	4.37E+01	8.25E+00	5.99E+00	62	94.5	41	52.5	7.33E+00	1.19E+01	0	0	0	0	0	0	0	0	0	0	0	16.763	36.8755	1	1	1	1	51.0895	40.977	53.4444																																																																																																																																																																		
DATA	14	1	14	0	0	A_23_P212522	NM_014616	623.563	199.6	-5.56E-02	6.17E-02	3.68E-01	1.02E+03	9.00E+02	1.03E+02	9.01E+01	446	781	41	53	7.22E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	419.921	748.225	1	1	1	1	50.7771	41.0525	53.7626																																																																																																																																																																		
DATA	15	1	15	0	0	A_24_P934473	BX537921	649.112	199.588	2.33E-02	2.28E-01	9.19E-01	1.58E+01	1.67E+01	7.21E+00	4.55E+00	54	72	41	54	7.11E+00	1.25E+01	0	0	0	0	0	0	0	0	0	0	0	6.55551	13.6708	1	1	0	0	50.1463	40.8925	54.9396																																																																																																																																																																		
DATA	16	1	16	0	0	A_24_P9671	NM_001539	674.347	199.88	-1.18E-01	6.24E-02	5.90E-02	3.72E+04	2.84E+04	3.72E+03	2.84E+03	13341	24405	41	54	7.09E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	13966.2	25407.9	1	1	1	1	48.8603	41.1276	54.6305																																																																																																																																																																		
DATA	17	1	17	0	0	A_32_P29551	THC2741789	700.315	200.26	-1.06E-01	9.76E-02	2.78E-01	5.44E+01	4.27E+01	9.08E+00	5.96E+00	66	94	41	54	6.94E+00	1.24E+01	0	0	0	0	0	0	0	0	0	0	0	21.8199	35.5054	1	1	1	1	47.5395	41.2318	55.275																																																																																																																																																																		
DATA	18	1	18	0	0	A_24_P801451	NM_006709	725.5	200.179	1.32E-01	8.20E-02	1.08E-01	5.89E+01	7.98E+01	9.37E+00	9.01E+00	69.5	120.5	41	55	7.08E+00	1.21E+01	0	0	0	0	0	0	0	0	0	0	0	23.5692	66.1732	1	1	1	1	49.1849	41.4638	55.5284																																																																																																																																																																		
DATA	19	1	19	0	0	A_32_P30710	NM_000978	750.692	200.5	1.08E-01	6.22E-02	8.21E-02	4.49E+04	5.76E+04	4.49E+03	5.76E+03	15386.5	49354	41	55	7.17E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	16148.9	52853.6	1	1	1	1	50.4627	41.2354	54.9517																																																																																																																																																																		
DATA	20	1	20	0	0	A_32_P89523	T12590	776.418	200.427	1.42E-02	1.86E-01	9.39E-01	2.05E+01	2.11E+01	7.54E+00	4.74E+00	55	75	40	55	7.32E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	8.20736	17.2676	1	1	0	0	57.5363	41.2279	54.9607																																																																																																																																																																		
DATA	21	1	21	0	0	A_24_P704878	A_24_P704878	801.582	200.427	0.00E+00	6.29E-01	1.00E+00	6.69E+00	4.66E+00	6.67E+00	4.65E+00	43	61	41	54	6.94E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	-1.69644	1.93074	0	0	0	0	65	41.5029	54.2358																																																																																																																																																																		
DATA	22	1	22	0	0	A_32_P86028	NM_001017	826.795	200.397	1.21E-01	6.24E-02	5.19E-02	3.58E+04	4.74E+04	3.58E+03	4.74E+03	12347	40281.5	40	53	7.26E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	12983.1	42408.5	1	1	1	1	50.1463	40.5926	54.3275																																																																																																																																																																		
DATA	23	1	23	0	0	A_24_P470079	AK021474	852.351	200.108	2.15E-01	2.87E-01	4.53E-01	1.00E+01	1.65E+01	7.17E+00	4.70E+00	49	73	40	53	6.62E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	4.11691	12.9584	1	1	0	0	48.8603	40.3185	54.778																																																																																																																																																																		
DATA	24	1	24	0	0	A_23_P65830	NM_198527	877.805	200.481	4.07E-01	7.19E-02	1.51E-08	1.53E+03	3.90E+03	1.53E+02	3.90E+02	651	3017	40	53	6.41E+00	1.23E+01	0	0	0	0	0	0	0	0	0	0	0	608.859	3145.65	1	1	1	1	49.8279	39.9053	53.9566																																																																																																																																																																		
DATA	25	1	25	0	0	A_23_P109143	NM_000311	902.886	200.62	-1.62E-01	6.32E-02	1.02E-02	7.68E+03	5.29E+03	7.68E+02	5.29E+02	2863	4040	40	53	7.34E+00	1.08E+01	0	0	0	0	0	0	0	0	0	0	0	3017.32	4302.06	1	1	1	1	50.1463	40.0193	53.9788																																																																																																																																																																		
DATA	26	1	26	0	0	A_24_P595567	AK091028	928.5	200.648	6.82E-01	2.26E-01	2.51E-03	7.28E+00	3.50E+01	7.26E+00	5.60E+00	45	84	40	53	7.15E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	1.4082	27.6961	0	1	0	1	57.5363	40.0134	53.4368																																																																																																																																																																		
DATA	27	1	27	0	0	A_24_P391591	AK057596	953.587	200.863	-8.05E-02	6.92E-02	2.44E-01	1.32E+02	1.10E+02	1.51E+01	1.18E+01	92	143	39	52	7.37E+00	1.13E+01	0	0	0	0	0	0	0	0	0	0	0	51.801	88.2857	1	1	1	1	50.1463	39.7296	52.7977																																																																																																																																																																		
DATA	28	1	28	0	0	A_24_P799245	A_24_P799245	979.5	201	0.00E+00	6.28E-01	1.00E+00	6.81E+00	4.74E+00	6.79E+00	4.72E+00	40.5	52.5	39	51	6.75E+00	1.16E+01	0	0	0	0	0	0	0	0	0	0	0	-4.1884	-3.01902	0	0	0	0	65	38.9681	52.7605																																																																																																																																																																		
DATA	29	1	29	0	0	A_24_P932757	AY358648	1004.5	201	0.00E+00	6.28E-01	1.00E+00	6.83E+00	4.75E+00	6.80E+00	4.73E+00	39	53	39	53	6.66E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	-5.34825	-4.12807	0	0	0	0	65	39.2285	54.0215																																																																																																																																																																		
DATA	30	1	30	0	0	A_24_P835500	NM_001034841	1029.8	201	-1.26E-01	6.25E-02	4.40E-02	2.16E+04	1.62E+04	2.16E+03	1.62E+03	7634	12597.5	39	53	6.97E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	8097.99	13511.3	1	1	1	1	49.1849	39.1892	53.9247																																																																																																																																																																		
DATA	31	1	31	0	0	A_23_P54340	NM_032445	1055.6	201.488	3.76E-01	3.30E-01	2.54E-01	7.18E+00	1.71E+01	7.18E+00	4.85E+00	46	72	39	53	6.74E+00	1.10E+01	0	0	0	0	0	0	0	0	0	0	0	2.61916	13.0311	0	1	0	0	52.3208	39.3772	52.99																																																																																																																																																																		
DATA	32	1	32	0	0	A_23_P67555	NM_004886	1080.75	201.225	-9.44E-02	6.23E-02	1.30E-01	6.85E+02	5.51E+02	6.89E+01	5.53E+01	307.5	506.5	38	53	7.05E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	268.101	436.646	1	1	1	1	50.4627	38.332	53.288																																																																																																																																																																		
DATA	33	1	33	0	0	A_24_P286412	NM_014478	1105.55	201.621	-2.69E-01	7.87E-02	6.27E-04	1.19E+02	6.39E+01	1.41E+01	7.73E+00	84	106.5	38	52	6.83E+00	1.12E+01	0	0	0	0	0	0	0	0	0	0	0	45.9855	50.9058	1	1	1	1	45.4864	38.2213	52.7826																																																																																																																																																																		
DATA	34	1	34	0	0	A_24_P229084	NM_021185	1131.58	201.427	0.00E+00	6.28E-01	1.00E+00	6.90E+00	4.80E+00	6.87E+00	4.78E+00	43.5	57	38	52	7.08E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	-0.82919	-1.17793	0	0	0	0	65	38.52	52.899																																																																																																																																																																		
DATA	35	1	35	0	0	A_23_P202696	NM_016506	1156.81	201.481	-1.01E-01	6.23E-02	1.04E-01	9.61E+02	7.61E+02	9.64E+01	7.62E+01	397	622.5	38	54	7.56E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	373.963	597.449	1	1	1	1	49.8279	38.4796	54.0621																																																																																																																																																																		
DATA	36	1	36	0	0	A_24_P927716	NR_003542	1182.5	201.5	0.00E+00	6.29E-01	1.00E+00	6.93E+00	4.83E+00	6.91E+00	4.81E+00	45	56	38	53	7.54E+00	1.20E+01	0	0	0	0	0	0	0	0	0	0	0	1.50151	-3.38149	0	0	0	0	57.5363	39.0264	54.3597																																																																																																																																																																		
DATA	37	1	37	0	0	A_23_P124837	NM_002332	1207.89	201.5	-4.50E-01	9.59E-02	2.80E-06	1.00E+02	3.56E+01	1.26E+01	5.64E+00	79	85	37	52	7.21E+00	1.18E+01	0	0	0	0	0	0	0	0	0	0	0	38.3627	28.102	1	1	1	1	56.9804	37.9485	53.7653																																																																																																																																																																		
DATA	38	1	38	0	0	A_24_P329635	NM_000368	1232.97	201.716	-3.45E-01	6.91E-02	5.78E-07	2.68E+03	1.21E+03	2.69E+02	1.21E+02	1030	974.5	37	55	7.23E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	1039.95	942.979	1	1	1	1	48.8603	37.5641	54.912																																																																																																																																																																		
