""	"rRaw_arrays_scanner_file1.txt"
"A_23_P102542"	14413.5
"A_23_P102551"	139.5
"A_23_P102571"	29370.8
"A_23_P102575"	7079
"A_23_P102582"	198011
"A_23_P102607"	192.5
"A_23_P102611"	5072.5
"A_23_P102622"	530
"A_23_P102634"	145
"A_23_P102681"	194
"A_23_P102694"	317.5
"A_23_P102706"	459
"A_23_P102731"	3219
"A_23_P102743"	734
"A_23_P102759"	270
"A_23_P102769"	1444.5
"A_23_P102770"	14792
"A_23_P102816"	778
"A_23_P102832"	13085
"A_23_P102842"	10243.5
"A_23_P102864"	178.5
"A_23_P102876"	72783.1
"A_23_P102884"	551
"A_23_P102890"	337376
"A_23_P1029"	802
"A_23_P10291"	337.5
"A_23_P102917"	166
"A_23_P102919"	168
"A_23_P102925"	4101.5
"A_23_P102937"	11714
"A_23_P102950"	539.5
"A_23_P102965"	5893.5
"A_23_P102973"	6407.5
"A_23_P102988"	606
"A_23_P102994"	39207.5
"A_23_P103011"	8013
"A_23_P103034"	216
"A_23_P103041"	294
"A_23_P10305"	977
"A_23_P103062"	3952
"A_23_P103070"	18389.5
"A_23_P103084"	3741.5
"A_23_P103099"	669
"A_23_P103104"	15668.5
"A_23_P103110"	26396.7
"A_23_P103120"	18445
"A_23_P103131"	41842.5
"A_23_P103149"	215895
"A_23_P103172"	7815
"A_23_P103180"	2099
"A_23_P103201"	19671.8
"A_23_P103226"	187.5
"A_23_P103232"	62676
"A_23_P103248"	899
"A_23_P103256"	211
"A_23_P103269"	147
"A_23_P103276"	1552
"A_23_P103282"	144398
"A_23_P103310"	302.5
"A_23_P103315"	68604.6
"A_23_P103328"	498
"A_23_P103334"	1654
"A_23_P103349"	181
"A_23_P103361"	638.95
"A_23_P103371"	332.5
"A_23_P103398"	80614.1
"A_23_P103405"	814
"A_23_P103414"	39197.7
"A_23_P103424"	148
"A_23_P103433"	5720
"A_23_P103442"	12092
"A_23_P103454"	60282
"A_23_P103465"	382
"A_23_P103476"	2542
"A_23_P103486"	522
"A_23_P103496"	413
"A_23_P103503"	2482
"A_23_P103511"	13665.5
"A_23_P103522"	132.5
"A_23_P103532"	1121
"A_23_P10356"	569
"A_23_P103561"	1403
"A_23_P103571"	362
"A_23_P103588"	240
"A_23_P103601"	15612.5
"A_23_P103617"	1090
"A_23_P103628"	5511
"A_23_P103631"	49471.9
"A_23_P103661"	15346
"A_23_P103672"	52033.1
"A_23_P103690"	4582
"A_23_P103698"	63206.9
"A_23_P103703"	4152
"A_23_P103720"	590
"A_23_P10374"	17923
"A_23_P103743"	149
"A_23_P103756"	581
"A_23_P103765"	228
"A_23_P103775"	483.5
"A_23_P103787"	5061
"A_23_P103795"	484
"A_23_P1038"	1615
"A_23_P103803"	176
"A_23_P103812"	258.5
"A_23_P103824"	11106
"A_23_P103837"	5340
"A_23_P10385"	481.8
"A_23_P103864"	1729
"A_23_P103877"	546.5
"A_23_P103885"	46665
"A_23_P103897"	377
"A_23_P103905"	10144.5
"A_23_P10391"	243
"A_23_P103919"	15004.5
"A_23_P103923"	835
"A_23_P103932"	641130
"A_23_P103942"	8046
"A_23_P103951"	5098.5
"A_23_P103968"	31381.4
"A_23_P103971"	237.5
"A_23_P103981"	23855.2
"A_23_P103996"	2265
"A_23_P10401"	3215.5
"A_23_P104012"	146.5
"A_23_P104022"	3576
"A_23_P104025"	952
"A_23_P104046"	3496
"A_23_P104054"	5125
"A_23_P104065"	4212
"A_23_P104073"	344
"A_23_P104086"	869
"A_23_P104098"	588
"A_23_P104109"	1790
"A_23_P104116"	103154
"A_23_P104138"	366
"A_23_P104146"	4082
"A_23_P104151"	2837
"A_23_P104188"	649
"A_23_P104193"	52116.7
"A_23_P104199"	25880.05
"A_23_P104201"	52165.8
"A_23_P104224"	312
"A_23_P104237"	162
"A_23_P104252"	286
"A_23_P104275"	186
"A_23_P104282"	1746.5
"A_23_P104295"	2191
"A_23_P1043"	374
"A_23_P104318"	68103.2
"A_23_P104323"	8650
"A_23_P104335"	124
"A_23_P104346"	6968
"A_23_P104351"	35845.1
"A_23_P104362"	74749.5
"A_23_P104372"	19460.5
"A_23_P104387"	65507.6
"A_23_P104413"	428561
"A_23_P10442"	17225
"A_23_P104438"	356
"A_23_P104445"	8424.5
"A_23_P104451"	15215
"A_23_P104464"	3115
"A_23_P104471"	86469
"A_23_P104484"	217
"A_23_P104493"	4529
"A_23_P104509"	642
"A_23_P104522"	189
"A_23_P104555"	258
"A_23_P104563"	1846
"A_23_P104579"	2238
"A_23_P10458"	213
"A_23_P104583"	10963.5
"A_23_P104594"	365
"A_23_P104607"	16456.5
"A_23_P104617"	1391
"A_23_P104624"	4593
"A_23_P10463"	205099
"A_23_P104641"	20318
"A_23_P104651"	3701.5
"A_23_P104676"	26259.1
"A_23_P104689"	6098.3
"A_23_P104692"	10556
"A_23_P104705"	793
"A_23_P104734"	24779.4
"A_23_P104741"	301
"A_23_P104762"	471
"A_23_P104798"	6413
"A_23_P104804"	705
"A_23_P104819"	281
"A_23_P104845"	243
"A_23_P104853"	147
"A_23_P104865"	159
"A_23_P104876"	4950.5
"A_23_P10488"	131
"A_23_P104881"	271.5
"A_23_P104892"	174385
"A_23_P104942"	17654.5
"A_23_P10497"	16847.5
"A_23_P104972"	220
"A_23_P104996"	1937.5
"A_23_P10500"	224.5
"A_23_P105002"	1738
"A_23_P105012"	218
"A_23_P105028"	5858.5
"A_23_P105044"	15708
"A_23_P10506"	44492.1
"A_23_P105066"	15822
"A_23_P105088"	226
"A_23_P105118"	238
"A_23_P105138"	19388
"A_23_P105144"	1612
"A_23_P10518"	255
"A_23_P105184"	129296
"A_23_P105197"	644
"A_23_P105212"	146
"A_23_P105227"	913.5
"A_23_P10525"	141.5
"A_23_P105251"	328.5
"A_23_P105264"	6405
"A_23_P105276"	3121
"A_23_P105307"	1188
"A_23_P105313"	23525.8
"A_23_P105368"	359
"A_23_P105382"	771
"A_23_P105392"	68604.6
"A_23_P105409"	1056
"A_23_P10542"	228
"A_23_P105423"	207
"A_23_P105436"	605
"A_23_P105442"	13908
"A_23_P105453"	154
"A_23_P105461"	706
"A_23_P105465"	298
"A_23_P105475"	181
"A_23_P105495"	181
"A_23_P105519"	5698
"A_23_P105524"	184
"A_23_P105535"	5387.5
"A_23_P105545"	203
"A_23_P105562"	9074.85
"A_23_P105571"	4699
"A_23_P105583"	1932
"A_23_P10559"	3476
"A_23_P105592"	31735.4
"A_23_P1056"	1922
"A_23_P10561"	167
"A_23_P105619"	1041.5
"A_23_P105625"	13093
"A_23_P10564"	142
"A_23_P105646"	3716
"A_23_P105651"	149
"A_23_P105664"	12450.5
"A_23_P105691"	252
"A_23_P105705"	163
"A_23_P105730"	180
"A_23_P105732"	13817
"A_23_P105747"	1334
"A_23_P105753"	2190
"A_23_P105794"	400.5
"A_23_P105803"	245
"A_23_P105815"	426
"A_23_P105833"	808
"A_23_P105856"	574
"A_23_P105862"	3026
"A_23_P105873"	155.5
"A_23_P105886"	175.5
"A_23_P105900"	37359.2
"A_23_P10591"	196231
"A_23_P105923"	264
"A_23_P105939"	176.5
"A_23_P105957"	126642
"A_23_P105963"	204
"A_23_P105973"	256.5
"A_23_P106"	1092
"A_23_P106002"	118491
"A_23_P106016"	298
"A_23_P106024"	315
"A_23_P106042"	225
"A_23_P10605"	16953
"A_23_P106056"	95583
"A_23_P106069"	183
"A_23_P106080"	208
"A_23_P106103"	281
"A_23_P106117"	368
"A_23_P106127"	3700
"A_23_P106131"	54220.7
"A_23_P10614"	2138.5
"A_23_P106145"	118265
"A_23_P106158"	1079
"A_23_P106162"	4101
"A_23_P106174"	1525
"A_23_P106194"	11377
"A_23_P106204"	5599
"A_23_P106226"	57504.5
"A_23_P106236"	175
"A_23_P106241"	18582
"A_23_P106258"	774.5
"A_23_P106280"	4297
"A_23_P106299"	294102
"A_23_P106322"	2006
"A_23_P106362"	156068
"A_23_P106371"	470
"A_23_P106389"	1249
"A_23_P106391"	368
"A_23_P10640"	473.5
"A_23_P106405"	1223
"A_23_P106412"	611
"A_23_P106425"	1458
"A_23_P106433"	3852
"A_23_P106439"	2323
"A_23_P106463"	31435.5
"A_23_P10647"	1120.5
"A_23_P106472"	581033
"A_23_P106481"	34773.4
"A_23_P106497"	1874
"A_23_P106505"	1068.5
"A_23_P106522"	7045
"A_23_P106532"	4552
"A_23_P106544"	20399.3
"A_23_P106559"	1530
"A_23_P106562"	28490.9
"A_23_P106575"	15279.5
"A_23_P106602"	429
"A_23_P106617"	576
"A_23_P106629"	25644.6
"A_23_P106633"	21613.5
"A_23_P106656"	202
"A_23_P106661"	601
"A_23_P106663"	244.5
"A_23_P106675"	20079.8
"A_23_P106682"	4232
"A_23_P106694"	26996.5
"A_23_P106708"	641125
"A_23_P106720"	1239.5
"A_23_P106727"	5093
"A_23_P106737"	1499
"A_23_P106741"	87879.8
"A_23_P106761"	7476
"A_23_P106773"	13368
"A_23_P106798"	1337.5
"A_23_P106806"	225
"A_23_P106814"	239
"A_23_P106822"	3938
"A_23_P106835"	15443
"A_23_P106844"	641130
"A_23_P10685"	14574
"A_23_P106859"	30506.4
"A_23_P106874"	3076
"A_23_P106887"	13838
"A_23_P106898"	3988
"A_23_P106906"	518
"A_23_P106922"	369.5
"A_23_P106933"	157
"A_23_P106945"	6657.5
"A_23_P106973"	641130
"A_23_P10699"	2509
"A_23_P106998"	4463
"A_23_P10701"	5437
"A_23_P107036"	25880.5
"A_23_P107048"	3500
"A_23_P107051"	2339
"A_23_P107064"	330
"A_23_P107073"	58694.1
"A_23_P107087"	1249.5
"A_23_P107102"	133.5
"A_23_P107116"	671
"A_23_P107132"	126
"A_23_P107154"	10429
"A_23_P107166"	835
"A_23_P107173"	206
"A_23_P1072"	169110
"A_23_P107206"	5486.95
"A_23_P10721"	158
"A_23_P107211"	5551
"A_23_P107214"	27104.6
"A_23_P107238"	221
"A_23_P107247"	1041
"A_23_P107257"	3711
"A_23_P107283"	1787.5
"A_23_P107295"	1530
"A_23_P107307"	2264
"A_23_P107313"	6076
"A_23_P107322"	2596
"A_23_P107336"	1583
"A_23_P107350"	375.5
"A_23_P107351"	1581
"A_23_P107369"	113310
"A_23_P107373"	8772
"A_23_P107394"	467608
"A_23_P107401"	417092
"A_23_P107412"	193242
"A_23_P107421"	62853
"A_23_P10743"	2866
"A_23_P107432"	697
"A_23_P107443"	119
"A_23_P107454"	488
"A_23_P107465"	957
"A_23_P107483"	463.5
"A_23_P107507"	3712
"A_23_P107513"	1234
"A_23_P10753"	129
"A_23_P107531"	203
"A_23_P107552"	3521
"A_23_P107565"	183
"A_23_P107578"	149
"A_23_P107587"	24164.9
"A_23_P107597"	199.5
"A_23_P107612"	131
"A_23_P107623"	129
"A_23_P107644"	50052
"A_23_P107653"	63325.4
"A_23_P107661"	35319.1
"A_23_P107673"	459
"A_23_P107684"	1991
"A_23_P107693"	2817
"A_23_P107701"	21569.3
"A_23_P107714"	1793
"A_23_P107724"	1255
"A_23_P107735"	18871.5
"A_23_P107744"	162
"A_23_P107750"	142
"A_23_P107763"	6466
"A_23_P107775"	388
"A_23_P107795"	50366.6
"A_23_P107801"	3165.5
"A_23_P107847"	10252
"A_23_P10785"	7482.5
"A_23_P107855"	687
"A_23_P107881"	634.5
"A_23_P107894"	6156
"A_23_P107903"	3229
"A_23_P107911"	447
"A_23_P107933"	2178
"A_23_P107942"	1480
"A_23_P107959"	27724
"A_23_P107963"	284.5
"A_23_P107974"	276
"A_23_P10798"	523
"A_23_P107981"	207
"A_23_P107994"	12039
"A_23_P108028"	956.5
"A_23_P108042"	169
"A_23_P108054"	2072
"A_23_P108062"	391.5
"A_23_P108075"	239.5
"A_23_P108082"	224
"A_23_P108103"	4020
"A_23_P108129"	792
"A_23_P108135"	158379
"A_23_P108143"	3818
"A_23_P10815"	34547.3
"A_23_P108157"	461.5
"A_23_P108170"	176
"A_23_P108180"	268
"A_23_P108200"	342
"A_23_P108216"	148
"A_23_P108221"	171
"A_23_P108244"	72906
"A_23_P108265"	401
"A_23_P108280"	204
"A_23_P108294"	1623.5
"A_23_P1083"	245
"A_23_P108303"	48626.4
"A_23_P108314"	412
"A_23_P108326"	1382
"A_23_P108331"	63905
"A_23_P108342"	470.5
"A_23_P108376"	11221
"A_23_P10839"	12405
"A_23_P108394"	8104.5
"A_23_P108404"	440.5
"A_23_P108415"	63413.4
"A_23_P108427"	239
"A_23_P108437"	2132
"A_23_P108463"	419
"A_23_P108492"	235
"A_23_P108501"	279
"A_23_P108514"	2295
"A_23_P108522"	46148.8
"A_23_P108534"	189.5
"A_23_P108546"	134
"A_23_P108554"	43307.4
"A_23_P108564"	167
"A_23_P108574"	2927
"A_23_P10858"	3414
"A_23_P108592"	324.5
"A_23_P108604"	11053
"A_23_P108641"	15631.5
"A_23_P108657"	2758
"A_23_P108662"	66505.5
"A_23_P108673"	205.5
"A_23_P108699"	281
"A_23_P10870"	2607.5
"A_23_P108708"	99048.7
"A_23_P10873"	27822.3
"A_23_P108734"	162
"A_23_P108743"	182
"A_23_P108751"	1319
"A_23_P108761"	5517
"A_23_P108785"	110577
"A_23_P108819"	279
"A_23_P108823"	460
"A_23_P108835"	13926
"A_23_P108842"	42953.4
"A_23_P10885"	466
"A_23_P108871"	5747.5
"A_23_P108883"	235
"A_23_P108911"	1857.5
"A_23_P108922"	1890
"A_23_P108932"	295.5
"A_23_P108948"	65350.3
"A_23_P108970"	234.5
"A_23_P108990"	143
"A_23_P108994"	27409.4
"A_23_P109001"	480
"A_23_P109017"	5986
"A_23_P10902"	250
"A_23_P109026"	15804.5
"A_23_P109034"	10771.5
"A_23_P109055"	368
"A_23_P109072"	2206
"A_23_P10911"	4075
"A_23_P109122"	7362.5
"A_23_P109133"	971
"A_23_P109143"	45357.32
"A_23_P109171"	282.5
"A_23_P109184"	13896.5
"A_23_P109193"	304.5
"A_23_P109201"	163491
"A_23_P109224"	473
"A_23_P109229"	202.5
"A_23_P109235"	11312
"A_23_P109254"	30486.7
"A_23_P109269"	838
"A_23_P10927"	1231
"A_23_P109286"	249
"A_23_P109304"	10318
"A_23_P109320"	251
"A_23_P109322"	918
"A_23_P109333"	44929.6
"A_23_P109345"	77841.6
"A_23_P10936"	161
"A_23_P109382"	157
"A_23_P109393"	467
"A_23_P109410"	784
"A_23_P109420"	13706.5
"A_23_P109427"	1832
"A_23_P109436"	1320
"A_23_P109442"	11516
"A_23_P109446"	4828.5
"A_23_P109452"	1937.5
"A_23_P10947"	1757.5
"A_23_P109470"	6278
"A_23_P109488"	3135.5
"A_23_P109508"	4023
"A_23_P109547"	6147.5
"A_23_P10956"	312.5
"A_23_P109593"	17987.5
"A_23_P109606"	8239.5
"A_23_P109614"	145
"A_23_P109636"	1221
"A_23_P109643"	5949.5
"A_23_P109655"	2086
"A_23_P10966"	203
"A_23_P109677"	25433.2
"A_23_P109682"	5832
"A_23_P109720"	166.5
"A_23_P109733"	2017
"A_23_P109768"	67690.2
"A_23_P109774"	5488
"A_23_P109785"	137
"A_23_P109794"	275
"A_23_P10980"	121
"A_23_P109812"	245
"A_23_P109821"	86714.8
"A_23_P109843"	230
"A_23_P109864"	7006
"A_23_P10987"	1538
"A_23_P109877"	6743
"A_23_P109881"	2299
"A_23_P109895"	8394
"A_23_P109907"	164592
"A_23_P109913"	147
"A_23_P109928"	37496.8
"A_23_P109934"	991.5
"A_23_P10995"	213
"A_23_P109950"	815
"A_23_P109964"	290.5
"A_23_P109974"	9707
"A_23_P109988"	13178.5
"A_23_P110005"	5499
"A_23_P110022"	462
"A_23_P110031"	13664
"A_23_P11005"	103827
"A_23_P110052"	219
"A_23_P110062"	11436
"A_23_P110076"	1714
"A_23_P110090"	185
"A_23_P110108"	823
"A_23_P110116"	27792.8
"A_23_P110122"	11866.5
"A_23_P110135"	242
"A_23_P110151"	495
"A_23_P110167"	41498.3
"A_23_P11017"	193
"A_23_P110175"	448
"A_23_P110184"	4009
"A_23_P110196"	740
"A_23_P1102"	310
"A_23_P110204"	262
"A_23_P110212"	87929
"A_23_P110234"	351.5
"A_23_P110243"	3476.5
"A_23_P11025"	1820.5
"A_23_P110253"	155.6
"A_23_P110266"	164.5
"A_23_P110276"	277
"A_23_P110288"	287.5
"A_23_P110299"	308
"A_23_P110304"	1644
"A_23_P110319"	168
"A_23_P11032"	5280
"A_23_P110345"	6105
"A_23_P110362"	10317.5
"A_23_P110386"	150
"A_23_P110403"	162.5
"A_23_P110412"	188
"A_23_P110430"	321.5
"A_23_P110433"	7180
"A_23_P110445"	4310
"A_23_P110462"	486
"A_23_P110473"	2437.5
"A_23_P110492"	6590
"A_23_P110504"	33559.2
"A_23_P11051"	761
"A_23_P110531"	2803
"A_23_P110557"	404
"A_23_P110569"	719
"A_23_P110571"	2504
"A_23_P110585"	2999
"A_23_P110598"	2065
"A_23_P110606"	1889.5
"A_23_P110611"	3036
"A_23_P110624"	637
"A_23_P110643"	2656
"A_23_P110655"	3974
"A_23_P110661"	21815.1
"A_23_P110686"	4050
"A_23_P110699"	241
"A_23_P11070"	161
"A_23_P110704"	37713.1
"A_23_P11071"	13364
"A_23_P110712"	39895.8
"A_23_P110725"	2942
"A_23_P110764"	123.5
"A_23_P110777"	148
"A_23_P110787"	3237
"A_23_P110791"	255350
"A_23_P110802"	1298.5
"A_23_P11081"	123
"A_23_P110811"	253398
"A_23_P110837"	392.5
"A_23_P110846"	7032.5
"A_23_P110851"	695.15
"A_23_P110879"	1965
"A_23_P110882"	3539
"A_23_P110896"	8692.5
"A_23_P110903"	181
"A_23_P110941"	663.5
"A_23_P110957"	984.5
"A_23_P110961"	73579.5
"A_23_P111000"	26495
"A_23_P111005"	23270.2
"A_23_P111020"	707
"A_23_P11103"	187
"A_23_P111037"	34429.3
"A_23_P111041"	5618
"A_23_P111054"	3508
"A_23_P111088"	296
"A_23_P111092"	49029.5
"A_23_P111112"	19614
"A_23_P111126"	10783
"A_23_P111132"	184246
"A_23_P111141"	29149.6
"A_23_P111155"	186.5
"A_23_P111171"	18823
"A_23_P111188"	1706
"A_23_P11119"	113
"A_23_P111194"	912
"A_23_P111206"	1292
"A_23_P111228"	1163
"A_23_P111240"	5570.5
"A_23_P111260"	499
"A_23_P111267"	281.5
"A_23_P111273"	13340
"A_23_P111288"	96536.7
"A_23_P111297"	996
"A_23_P111303"	4315
"A_23_P111306"	2487
"A_23_P111311"	248
"A_23_P111321"	746
"A_23_P111343"	7714
"A_23_P111360"	509
"A_23_P111361"	267.5
"A_23_P111373"	11099
"A_23_P111381"	9310.5
"A_23_P111395"	207.5
"A_23_P111402"	111
"A_23_P111413"	1090
"A_23_P11144"	575.5
"A_23_P111452"	112022
"A_23_P111480"	187.5
"A_23_P111481"	57027.7
"A_23_P111487"	1464
"A_23_P111492"	1089
"A_23_P111506"	641125
"A_23_P111517"	265
"A_23_P111525"	5860.5
"A_23_P111531"	970
"A_23_P111571"	641130
"A_23_P111583"	129075
"A_23_P111593"	592
"A_23_P11160"	586
"A_23_P111604"	130
"A_23_P111621"	12973.5
"A_23_P111635"	8971
"A_23_P111657"	229
"A_23_P111662"	140
"A_23_P111672"	2825
"A_23_P111698"	415
"A_23_P1117"	359
"A_23_P111701"	700
"A_23_P111712"	1257
"A_23_P111724"	138
"A_23_P111737"	234
"A_23_P111745"	10695
"A_23_P111753"	25561
"A_23_P111766"	1685
"A_23_P111797"	10323
"A_23_P111804"	10018
"A_23_P111811"	3234
"A_23_P111826"	178
"A_23_P111835"	38411.2
"A_23_P111843"	72468.5
"A_23_P111860"	283
"A_23_P111865"	797
"A_23_P111888"	379
"A_23_P111919"	211
"A_23_P11192"	20666.5
"A_23_P111929"	300
"A_23_P111947"	119
"A_23_P111961"	3264
"A_23_P111978"	508
"A_23_P111981"	3633.5
"A_23_P111995"	1631.4
"A_23_P112004"	2137
"A_23_P11201"	2928
"A_23_P112016"	217
"A_23_P112026"	393
"A_23_P112061"	30998
"A_23_P112078"	3301
"A_23_P112086"	144
"A_23_P112100"	141
"A_23_P112103"	3525
"A_23_P112113"	17602
"A_23_P112135"	47825.1
"A_23_P11214"	3070
"A_23_P112159"	10531
"A_23_P112162"	22257.5
"A_23_P112173"	170
"A_23_P112187"	289
"A_23_P112201"	3067
"A_23_P112220"	147
"A_23_P11224"	28864.5
"A_23_P112241"	47387.6
"A_23_P112251"	86016.7
"A_23_P112260"	27547
"A_23_P112275"	161.5
"A_23_P112289"	204.5
"A_23_P112296"	153
"A_23_P112311"	1649.5
"A_23_P112327"	173.5
