	"data[, -2]"
A_23_P106973	16.78564103
A_23_P10699	9.622971359
A_23_P106998	11.66168966
A_23_P10701	10.34876345
A_23_P107036	12.91301382
A_23_P107048	10.62139917
A_23_P107051	9.984166393
A_23_P107064	7.719644144
A_23_P107073	14.34241095
A_23_P107087	9.931651139
A_23_P107102	6.770592494
A_23_P107116	8.953518987
A_23_P107132	6.728707528
A_23_P107154	12.01728168
A_23_P107166	8.68856059
A_23_P107173	7.306666071
A_23_P1072	15.22779482
A_23_P107206	10.52531722
A_23_P10721	6.779179091
A_23_P107211	10.6706979
A_23_P107214	12.6140437
A_23_P107238	7.366809152
A_23_P107247	8.718587553
A_23_P107257	10.83863478
A_23_P107283	11.02731347
A_23_P107295	9.824302781
A_23_P107307	9.697127232
A_23_P107313	10.98695728
A_23_P107322	10.22927371
A_23_P107336	8.570234562
A_23_P107350	7.794927603
A_23_P107351	10.74112833
A_23_P107369	15.11321356
A_23_P107373	11.80260267
A_23_P107394	15.94603716
A_23_P107401	15.52480139
A_23_P107412	15.52195701
A_23_P107421	15.46242013
A_23_P10743	9.266994088
A_23_P107432	9.076895036
A_23_P107443	6.632098712
A_23_P107454	8.303879727
A_23_P107465	8.618944816
A_23_P107483	7.958894463
A_23_P107507	10.49050982
A_23_P107513	9.374009649
A_23_P10753	6.756080734
A_23_P107531	7.046771226
A_23_P107552	10.45081665
A_23_P107565	6.904921059
A_23_P107578	7.169057177
A_23_P107587	12.12786698
A_23_P107597	7.215571274
A_23_P107612	7.028354205
A_23_P107623	6.688443385
A_23_P107644	15.02848319
A_23_P107653	14.84412546
A_23_P107661	13.30505354
A_23_P107673	7.734429919
A_23_P107684	9.971372833
A_23_P107693	9.490115589
A_23_P107701	12.44222531
A_23_P107714	9.422364629
A_23_P107724	9.203902831
A_23_P107735	11.55880684
A_23_P107744	7.261605159
A_23_P107750	6.751347336
A_23_P107763	11.25062045
A_23_P107775	8.014878639
A_23_P107795	13.9213002
A_23_P107801	10.44332135
A_23_P107847	10.29273775
A_23_P10785	10.99471667
A_23_P107855	8.558105431
A_23_P107881	8.397646517
A_23_P107894	10.92089676
A_23_P107903	10.3304908
A_23_P107911	8.26880104
A_23_P107933	9.531027527
A_23_P107942	9.716099757
A_23_P107959	13.26019049
A_23_P107963	7.857506571
A_23_P107974	7.342223183
A_23_P10798	8.322506362
A_23_P107981	7.423697585
A_23_P107994	12.24625791
A_23_P108028	9.900667321
A_23_P108042	7.223966828
A_23_P108054	10.11455115
A_23_P108062	7.769358049
A_23_P108075	7.560795962
A_23_P108082	7.874687663
A_23_P108103	10.99911542
A_23_P108129	8.377687543
A_23_P108135	15.11016776
A_23_P108143	11.60334281
A_23_P10815	13.37986003
A_23_P108157	8.068306318
A_23_P108170	7.34810982
A_23_P108180	7.311768493
A_23_P108200	7.839256749
A_23_P108216	6.922298048
A_23_P108221	6.999264544
A_23_P108244	14.37661965
A_23_P108265	7.980359025
A_23_P108280	7.509475495
A_23_P108294	10.0876815
A_23_P1083	7.285542179
A_23_P108303	14.09175854
A_23_P108314	7.577803027
A_23_P108326	10.3143281
A_23_P108331	14.4016149
A_23_P108342	8.169066757
A_23_P108376	11.45963561
A_23_P10839	12.01087886
A_23_P108394	11.52693232
A_23_P108404	9.27958987
A_23_P108415	14.79387725
A_23_P108427	8.11381766
A_23_P108437	10.93502811
A_23_P108463	8.218482285
A_23_P108492	7.489362237
A_23_P108501	8.390971899
A_23_P108514	9.719274343
A_23_P108522	13.51856499
A_23_P108534	7.296710982
A_23_P108546	6.765404055
A_23_P108554	14.65094829
A_23_P108564	6.917188562
A_23_P108574	10.8136911
A_23_P10858	10.35943531
A_23_P108592	7.558467953
A_23_P108604	12.5878207
A_23_P108641	13.57307653
A_23_P108657	10.06816347
A_23_P108662	14.33053202
A_23_P108673	8.332830861
A_23_P108699	7.416363879
A_23_P10870	10.47812198
A_23_P108708	14.66701448
A_23_P10873	11.19886226
A_23_P108734	6.93009481
A_23_P108743	7.024831073
A_23_P108751	12.13378675
A_23_P108761	11.34498667
A_23_P108785	14.55157432
A_23_P108819	7.413963262
A_23_P108823	9.220174312
A_23_P108835	11.96126237
A_23_P108842	12.53263537
A_23_P10885	7.931670311
A_23_P108871	11.78925966
A_23_P108883	7.49053147
A_23_P108911	8.831940708
A_23_P108922	9.273400412
A_23_P108932	8.202812688
A_23_P108948	12.79632659
A_23_P108970	7.299023245
A_23_P108990	6.828274813
A_23_P108994	13.14699493
A_23_P109001	8.344674026
A_23_P109017	11.21762488
A_23_P10902	7.843936866
A_23_P109026	12.31971634
A_23_P109034	11.9734061
A_23_P109055	7.893399143
A_23_P109072	10.91320026
A_23_P10911	9.993710611
A_23_P109122	11.34244574
A_23_P109133	8.257135324
A_23_P109143	13.9025482
A_23_P109171	8.678328435
A_23_P109184	10.47376495
A_23_P109193	7.488239954
A_23_P109201	15.44378435
A_23_P109224	7.948477164
A_23_P109229	7.094915707
A_23_P109235	11.84255259
A_23_P109254	13.64941789
A_23_P109269	9.553318214
A_23_P10927	8.993068906
A_23_P109286	7.026227268
A_23_P109304	10.44366892
A_23_P109320	7.924286845
A_23_P109322	9.508923012
A_23_P109333	13.8215375
A_23_P109345	15.0725452
A_23_P10936	6.947457019
A_23_P109382	6.857740386
A_23_P109393	8.143154114
A_23_P109410	9.031555021
A_23_P109420	12.01702035
A_23_P109427	10.50770816
A_23_P109436	9.620084911
A_23_P109442	12.41571848
A_23_P109446	11.18141992
A_23_P109452	10.21247937
A_23_P10947	8.835960873
A_23_P109470	10.95551009
A_23_P109488	9.165530076
A_23_P109508	9.637825486
A_23_P109547	11.10273011
A_23_P10956	7.463000944
A_23_P109593	11.57673216
A_23_P109606	11.61378219
A_23_P109614	6.729546527
A_23_P109636	10.55047114
A_23_P109643	10.59152047
A_23_P109655	10.30639509
A_23_P10966	7.257568818
A_23_P109677	14.03311225
A_23_P109682	11.30069408
A_23_P109720	6.793703114
A_23_P109733	10.28147148
A_23_P109768	14.77083497
A_23_P109774	10.9289843
A_23_P109785	6.875444114
A_23_P109794	7.709037703
A_23_P10980	7.034596722
A_23_P109812	7.376476908
A_23_P109821	14.87123376
A_23_P109843	7.097307951
A_23_P109864	10.01281852
A_23_P10987	9.797897225
A_23_P109877	10.92739209
A_23_P109881	10.15365481
A_23_P109895	11.66479352
A_23_P109907	15.98357837
A_23_P109913	6.933241607
A_23_P109928	14.42933472
A_23_P109934	9.027290898
A_23_P10995	7.185836535
A_23_P109950	8.944397872
A_23_P109964	7.414712989
A_23_P109974	10.77703942
A_23_P109988	10.84187592
A_23_P110005	10.87183323
A_23_P110022	8.648148797
A_23_P110031	11.23154495
A_23_P11005	13.667097
A_23_P110052	8.20560689
A_23_P110062	12.03227415
A_23_P110076	10.09109313
A_23_P110090	7.198605342
A_23_P110108	8.685267202
A_23_P110116	11.35481588
A_23_P110122	12.08808782
A_23_P110135	7.247257185
A_23_P110151	8.080715959
A_23_P110167	13.33338908
A_23_P11017	7.695428789
A_23_P110175	7.849709159
A_23_P110184	10.63496303
A_23_P110196	8.746563697
A_23_P1102	8.183219772
A_23_P110204	8.599997137
A_23_P110212	13.13543305
A_23_P110234	7.626648657
A_23_P110243	10.53053766
A_23_P11025	9.651193193
A_23_P110253	7.415535045
A_23_P110266	7.094504039
A_23_P110276	7.919107946
A_23_P110288	7.691684521
A_23_P110299	7.328768461
A_23_P110304	9.111821253
A_23_P110319	6.794033546
A_23_P11032	9.712584737
A_23_P110345	11.06326063
A_23_P110362	11.5457423
A_23_P110386	6.863894736
A_23_P110403	8.100690692
A_23_P110412	7.305029771
A_23_P110430	7.977283049
A_23_P110433	11.86599506
A_23_P110445	10.70281594
A_23_P110462	7.499479052
A_23_P110473	10.30380368
A_23_P110492	11.54302604
A_23_P110504	13.6470127
A_23_P11051	8.458186559
A_23_P110531	11.915517
A_23_P110557	7.82529842
A_23_P110569	8.707099616
A_23_P110571	10.05460626
A_23_P110585	10.37429628
A_23_P110598	10.26424047
A_23_P110606	9.998923055
A_23_P110611	10.40790652
A_23_P110624	9.778568074
A_23_P110643	9.71285278
A_23_P110655	11.05823158
A_23_P110661	13.57387073
A_23_P110686	11.60102512
A_23_P110699	7.607160285
A_23_P11070	6.982333229
A_23_P110704	13.36333074
A_23_P11071	12.67152507
A_23_P110712	13.24936848
A_23_P110725	10.50847049
A_23_P110764	6.587103192
A_23_P110777	6.841971386
A_23_P110787	9.661188693
A_23_P110791	14.56442759
A_23_P110802	10.65482165
A_23_P11081	6.678938586
A_23_P110811	16.21868413
A_23_P110837	8.607426309
A_23_P110846	11.36708041
A_23_P110851	9.455344562
A_23_P110879	9.370180886
A_23_P110882	10.89536308
A_23_P110896	10.44439023
A_23_P110903	7.245377584
A_23_P110941	9.337770667
A_23_P110957	10.40317687
A_23_P110961	13.81856591
A_23_P111000	12.94903451
A_23_P111005	13.28758807
A_23_P111020	8.359516668
A_23_P11103	6.986767321
A_23_P111037	13.97957865
A_23_P111041	11.60411416
A_23_P111054	11.13168534
A_23_P111088	7.451543692
A_23_P111092	13.05925116
A_23_P111112	13.42465505
A_23_P111126	10.27753517
A_23_P111132	15.65774516
A_23_P111141	13.20256188
A_23_P111155	6.995021217
A_23_P111171	11.24004704
A_23_P111188	9.228218623
A_23_P11119	6.65008035
A_23_P111194	9.243618128
A_23_P111206	9.140514094
A_23_P111228	9.575254743
A_23_P111240	10.83880788
A_23_P111260	8.825568617
A_23_P111267	7.984046169
A_23_P111273	13.46083435
A_23_P111288	15.06053062
A_23_P111297	10.32647113
A_23_P111303	11.23377674
A_23_P111306	10.52377262
A_23_P111311	7.927174732
A_23_P111321	8.426942255
A_23_P111343	11.78226554
A_23_P111360	8.53863554
A_23_P111361	7.367200756
A_23_P111373	12.1395044
A_23_P111381	11.57594316
A_23_P111395	7.058476552
A_23_P111402	6.567642184
A_23_P111413	8.944755081
A_23_P11144	7.962086388
A_23_P111452	14.52110075
A_23_P111480	7.400782626
A_23_P111481	14.75131342
A_23_P111487	9.639080543
A_23_P111492	8.765338891
A_23_P111506	16.42609373
A_23_P111517	7.491729387
A_23_P111525	11.08888868
A_23_P111531	10.29831953
A_23_P111571	16.60464219
A_23_P111583	12.55509753
A_23_P111593	8.471461199
A_23_P11160	8.759831824
A_23_P111604	6.784839738
A_23_P111621	12.46574038
A_23_P111635	11.4622243
A_23_P111657	7.232990232
A_23_P111662	6.901032422
A_23_P111672	9.987020741
A_23_P111698	7.808966957
A_23_P1117	7.927712263
A_23_P111701	10.60303318
A_23_P111712	9.282602511
A_23_P111724	6.76372919
A_23_P111737	7.48479362
A_23_P111745	11.95531171
A_23_P111753	13.79143986
A_23_P111766	11.61826636
A_23_P111797	12.01974951
A_23_P111804	11.1748721
A_23_P111811	11.03035488
A_23_P111826	6.969192813
A_23_P111835	13.86559737
A_23_P111843	14.53804198
A_23_P111860	8.91794851
A_23_P111865	8.897044376
A_23_P111888	9.238709507
A_23_P111919	7.080511067
A_23_P11192	13.84482048
A_23_P111929	7.913644516
A_23_P111947	6.578282898
A_23_P111961	11.26611898
A_23_P111978	7.926165648
A_23_P111981	9.901281374
A_23_P111995	11.53094474
A_23_P112004	9.155121281
A_23_P11201	9.265815052
A_23_P112016	7.296158576
A_23_P112026	8.723960282
A_23_P112061	12.95778582
A_23_P112078	9.790953822
A_23_P112086	6.871810112
A_23_P112100	6.740262245
A_23_P112103	10.02442958
A_23_P112113	12.48757008
A_23_P112135	14.07440839
A_23_P11214	10.97518166
A_23_P112159	11.74370284
A_23_P112162	12.00689499
A_23_P112173	6.903290475
A_23_P112187	7.505264694
A_23_P112201	10.31062744
A_23_P112220	7.497686235
A_23_P11224	12.99861458
A_23_P112241	12.75210233
A_23_P112251	14.14097283
A_23_P112260	12.60561015
A_23_P112275	6.910692268
