""	"gRaw_arrays_scanner_file2.txt"
"A_23_P100788"	251
"A_23_P100795"	442
"A_23_P100802"	8185.5
"A_23_P10081"	180
"A_23_P100868"	2694
"A_23_P100872"	111
"A_23_P100883"	2810.5
"A_23_P10091"	160
"A_23_P100912"	213
"A_23_P100931"	84
"A_23_P100935"	88
"A_23_P100959"	105
"A_23_P100963"	244
"A_23_P100990"	110
"A_23_P100991"	88
"A_23_P101007"	440
"A_23_P101013"	1552
"A_23_P101025"	351
"A_23_P101038"	88
"A_23_P101048"	93
"A_23_P101054"	172
"A_23_P101073"	107
"A_23_P101084"	101
"A_23_P101093"	810.5
"A_23_P101111"	917
"A_23_P101121"	529
"A_23_P101131"	97
"A_23_P101141"	186
"A_23_P101185"	4017
"A_23_P101193"	500
"A_23_P101208"	3307.5
"A_23_P10121"	3521
"A_23_P101237"	1736
"A_23_P101240"	16751.5
"A_23_P101246"	393
"A_23_P101253"	366
"A_23_P101258"	227
"A_23_P10127"	7056
"A_23_P101272"	1378
"A_23_P101281"	506
"A_23_P101297"	322
"A_23_P101303"	1216
"A_23_P101308"	259
"A_23_P101319"	141
"A_23_P101321"	199
"A_23_P101332"	2504.5
"A_23_P101342"	278
"A_23_P10135"	622.5
"A_23_P101351"	691
"A_23_P101374"	213
"A_23_P101380"	523
"A_23_P101392"	325.5
"A_23_P1014"	1142.5
"A_23_P101407"	8634
"A_23_P101427"	194.5
"A_23_P101434"	111.5
"A_23_P101461"	6493
"A_23_P101476"	179
"A_23_P101480"	365
"A_23_P101505"	781
"A_23_P101516"	181
"A_23_P101521"	86
"A_23_P101532"	78989.5
"A_23_P101551"	2751
"A_23_P10156"	403.5
"A_23_P101564"	95
"A_23_P101573"	91
"A_23_P101615"	267
"A_23_P101623"	139
"A_23_P101636"	88
"A_23_P101642"	914
"A_23_P101655"	1222
"A_23_P101671"	231
"A_23_P101683"	95
"A_23_P101699"	583
"A_23_P101707"	1774
"A_23_P10172"	87
"A_23_P101737"	397.5
"A_23_P101742"	1636
"A_23_P101759"	239
"A_23_P101761"	783.5
"A_23_P101774"	99.5
"A_23_P101783"	132
"A_23_P101796"	441.5
"A_23_P101806"	884
"A_23_P101811"	278
"A_23_P10182"	626
"A_23_P101829"	208
"A_23_P101871"	411
"A_23_P101893"	178
"A_23_P101905"	282
"A_23_P101908"	196
"A_23_P10194"	6206.5
"A_23_P101943"	950.5
"A_23_P101950"	11271
"A_23_P101960"	6563
"A_23_P101972"	170.5
"A_23_P101992"	122.5
"A_23_P102000"	3262.45
"A_23_P102017"	98
"A_23_P102037"	267
"A_23_P102058"	331
"A_23_P10206"	279.5
"A_23_P102060"	1460
"A_23_P102071"	871.5
"A_23_P102083"	79
"A_23_P102109"	2095
"A_23_P10211"	411
"A_23_P102113"	287
"A_23_P102117"	125
"A_23_P102122"	5754
"A_23_P102160"	201
"A_23_P102172"	90.5
"A_23_P102183"	2351.5
"A_23_P102192"	368
"A_23_P102202"	10014
"A_23_P102235"	5233.5
"A_23_P102242"	607
"A_23_P102258"	5643
"A_23_P102262"	6370.5
"A_23_P102278"	86
"A_23_P102286"	85.5
"A_23_P10232"	94
"A_23_P102320"	1716
"A_23_P102331"	97
"A_23_P102351"	204
"A_23_P102364"	2701
"A_23_P102391"	436.5
"A_23_P102404"	23606.7
"A_23_P102412"	734
"A_23_P102420"	42608.6
"A_23_P102439"	137
"A_23_P102454"	1965
"A_23_P102462"	130.5
"A_23_P102471"	3426.7
"A_23_P102481"	93
"A_23_P102494"	155
"A_23_P102508"	1381
"A_23_P102517"	1108
"A_23_P102523"	285.5
"A_23_P102542"	908
"A_23_P102551"	96.5
"A_23_P102571"	16045
"A_23_P102575"	3276.5
"A_23_P102582"	8677.5
"A_23_P102607"	115.5
"A_23_P102611"	9740
"A_23_P102622"	299
"A_23_P102634"	88
"A_23_P102681"	151
"A_23_P102694"	89
"A_23_P102706"	235
"A_23_P102731"	1053.5
"A_23_P102743"	280
"A_23_P102759"	147
"A_23_P102769"	587
"A_23_P102770"	1851
"A_23_P102816"	231
"A_23_P102832"	2282
"A_23_P102842"	1789
"A_23_P102864"	246.5
"A_23_P102876"	12947.5
"A_23_P102884"	134
"A_23_P102890"	7696
"A_23_P1029"	518
"A_23_P10291"	132
"A_23_P102917"	84.5
"A_23_P102919"	95
"A_23_P102925"	1514
"A_23_P102937"	1543
"A_23_P102950"	170.5
"A_23_P102965"	588
"A_23_P102973"	726.5
"A_23_P102988"	199
"A_23_P102994"	3405
"A_23_P103011"	598
"A_23_P103034"	91.5
"A_23_P103041"	103
"A_23_P10305"	246
"A_23_P103062"	288.5
"A_23_P103070"	2316
"A_23_P103084"	184
"A_23_P103099"	535.5
"A_23_P103104"	523
"A_23_P103110"	552
"A_23_P103120"	3155
"A_23_P103131"	2676
"A_23_P103149"	5292.5
"A_23_P103172"	2187
"A_23_P103180"	654
"A_23_P103201"	1966
"A_23_P103226"	103
"A_23_P103232"	6803
"A_23_P103248"	555
"A_23_P103256"	211.5
"A_23_P103269"	121
"A_23_P103276"	264
"A_23_P103282"	9068
"A_23_P103310"	118
"A_23_P103315"	9739
"A_23_P103328"	96
"A_23_P103334"	207
"A_23_P103349"	82
"A_23_P103361"	1239.8
"A_23_P103371"	132
"A_23_P103398"	2493
"A_23_P103405"	187
"A_23_P103414"	4390
"A_23_P103424"	93
"A_23_P103433"	604
"A_23_P103442"	3085.5
"A_23_P103454"	11128.5
"A_23_P103465"	157
"A_23_P103476"	711.5
"A_23_P103486"	220
"A_23_P103496"	110
"A_23_P103503"	512
"A_23_P103511"	769
"A_23_P103522"	83.5
"A_23_P103532"	278
"A_23_P10356"	92
"A_23_P103561"	267
"A_23_P103571"	147
"A_23_P103588"	85
"A_23_P103601"	1775
"A_23_P103617"	239
"A_23_P103628"	2886
"A_23_P103631"	16078
"A_23_P103661"	3051
"A_23_P103672"	2843
"A_23_P103690"	1144
"A_23_P103698"	3361
"A_23_P103703"	127
"A_23_P103720"	1056.5
"A_23_P10374"	3367
"A_23_P103743"	89
"A_23_P103756"	182
"A_23_P103765"	90
"A_23_P103775"	168
"A_23_P103787"	1083
"A_23_P103795"	646
"A_23_P1038"	228.5
"A_23_P103803"	90
"A_23_P103812"	163
"A_23_P103824"	1057
"A_23_P103837"	812
"A_23_P10385"	1080.1
"A_23_P103864"	461
"A_23_P103877"	842
"A_23_P103885"	8737.5
"A_23_P103897"	112
"A_23_P103905"	1398
"A_23_P10391"	395
"A_23_P103919"	1694
"A_23_P103923"	141.5
"A_23_P103932"	499
"A_23_P103942"	1552.5
"A_23_P103951"	4855.5
"A_23_P103968"	1369
"A_23_P103971"	85
"A_23_P103981"	21937
"A_23_P103996"	621
"A_23_P10401"	183
"A_23_P104012"	100
"A_23_P104022"	2247
"A_23_P104025"	576
"A_23_P104046"	462
"A_23_P104054"	1592
"A_23_P104065"	984
"A_23_P104073"	217
"A_23_P104086"	188
"A_23_P104098"	111
"A_23_P104109"	458
"A_23_P104116"	22561.2
"A_23_P104138"	206
"A_23_P104146"	681
"A_23_P104151"	426
"A_23_P104188"	627
"A_23_P104193"	2698
"A_23_P104199"	1099.05
"A_23_P104201"	5096
"A_23_P104224"	223
"A_23_P104237"	108.5
"A_23_P104252"	223
"A_23_P104275"	89
"A_23_P104282"	277
"A_23_P104295"	327
"A_23_P1043"	659
"A_23_P104318"	21250.4
"A_23_P104323"	593
"A_23_P104335"	86
"A_23_P104346"	523
"A_23_P104351"	2147.5
"A_23_P104362"	6437
"A_23_P104372"	6248
"A_23_P104387"	3723
"A_23_P104413"	12216
"A_23_P10442"	833
"A_23_P104438"	188.5
"A_23_P104445"	181
"A_23_P104451"	4958.5
"A_23_P104464"	328
"A_23_P104471"	1013.5
"A_23_P104484"	85
"A_23_P104493"	327
"A_23_P104509"	134.5
"A_23_P104522"	175
"A_23_P104555"	108
"A_23_P104563"	250
"A_23_P104579"	695
"A_23_P10458"	89
"A_23_P104583"	452
"A_23_P104594"	109.5
"A_23_P104607"	2112
"A_23_P104617"	254
"A_23_P104624"	1234
"A_23_P10463"	18052.5
"A_23_P104641"	2316
"A_23_P104651"	6061
"A_23_P104676"	4245
"A_23_P104689"	611.15
"A_23_P104692"	841
"A_23_P104705"	201
"A_23_P104734"	4593
"A_23_P104741"	257
"A_23_P104762"	645
"A_23_P104798"	178.45
"A_23_P104804"	228
"A_23_P104819"	94
"A_23_P104845"	96
"A_23_P104853"	92.5
"A_23_P104865"	89
"A_23_P104876"	1081.5
"A_23_P10488"	159
"A_23_P104881"	122
"A_23_P104892"	11215
"A_23_P104942"	3144.5
"A_23_P10497"	504
"A_23_P104972"	98
"A_23_P104996"	141.5
"A_23_P10500"	94
"A_23_P105002"	625.5
"A_23_P105012"	116
"A_23_P105028"	1181
"A_23_P105044"	2985
"A_23_P10506"	118
"A_23_P105066"	1241
"A_23_P105088"	91
"A_23_P105118"	98.5
"A_23_P105138"	1479.5
"A_23_P105144"	323.5
"A_23_P10518"	145
"A_23_P105184"	1385.5
"A_23_P105197"	128
"A_23_P105212"	107
"A_23_P105227"	103
"A_23_P10525"	91
"A_23_P105251"	295
"A_23_P105264"	350.5
"A_23_P105276"	834
"A_23_P105307"	175
"A_23_P105313"	3022
"A_23_P105368"	117
"A_23_P105382"	230.5
"A_23_P105392"	19263.3
"A_23_P105409"	214
"A_23_P10542"	132
"A_23_P105423"	110
"A_23_P105436"	139
"A_23_P105442"	1165
"A_23_P105453"	83
"A_23_P105461"	107
"A_23_P105465"	91
"A_23_P105475"	118
"A_23_P105495"	122
"A_23_P105519"	1051.5
"A_23_P105524"	88.5
"A_23_P105535"	384.5
"A_23_P105545"	107
"A_23_P105562"	173.55
"A_23_P105571"	989.5
"A_23_P105583"	451.5
"A_23_P10559"	561.5
"A_23_P105592"	7722
"A_23_P1056"	573
"A_23_P10561"	79.5
"A_23_P105619"	332
"A_23_P105625"	1749
"A_23_P10564"	79
"A_23_P105646"	710
"A_23_P105651"	82
"A_23_P105664"	4715
"A_23_P105691"	108
"A_23_P105705"	87
"A_23_P105730"	91
"A_23_P105732"	6212
"A_23_P105747"	385
"A_23_P105753"	542
"A_23_P105794"	133
"A_23_P105803"	160.5
"A_23_P105815"	230.5
"A_23_P105833"	504
"A_23_P105856"	94
"A_23_P105862"	155
"A_23_P105873"	82
"A_23_P105886"	84
"A_23_P105900"	8753
"A_23_P10591"	6799
"A_23_P105923"	125.5
"A_23_P105939"	115.5
"A_23_P105957"	3823.5
"A_23_P105963"	126.5
"A_23_P105973"	321
"A_23_P106"	234
"A_23_P106002"	9759.5
"A_23_P106016"	277
"A_23_P106024"	294.5
"A_23_P106042"	100
"A_23_P10605"	471.5
"A_23_P106056"	4823
"A_23_P106069"	92
"A_23_P106080"	93
"A_23_P106103"	95.5
"A_23_P106117"	492
"A_23_P106127"	1258
"A_23_P106131"	5134.5
"A_23_P10614"	285
"A_23_P106145"	3915.5
"A_23_P106158"	308
"A_23_P106162"	415.5
"A_23_P106174"	122
"A_23_P106194"	4183
"A_23_P106204"	666
"A_23_P106226"	6296
"A_23_P106236"	92
"A_23_P106241"	2204.5
"A_23_P106258"	148
"A_23_P106280"	2366
"A_23_P106299"	9023
"A_23_P106322"	420
"A_23_P106362"	218.5
"A_23_P106371"	181
"A_23_P106389"	112.5
"A_23_P106391"	350
"A_23_P10640"	113.5
"A_23_P106405"	729
"A_23_P106412"	1043
"A_23_P106425"	152
"A_23_P106433"	3784.5
"A_23_P106439"	900.5
"A_23_P106463"	3145.5
"A_23_P10647"	347
"A_23_P106472"	13987
"A_23_P106481"	3911.5
"A_23_P106497"	329
"A_23_P106505"	475.5
"A_23_P106522"	1803
"A_23_P106532"	1738.5
"A_23_P106544"	6108.5
"A_23_P106559"	124
"A_23_P106562"	800
"A_23_P106575"	2951
"A_23_P106602"	114
"A_23_P106617"	656
"A_23_P106629"	101
"A_23_P106633"	2874
"A_23_P106656"	89
"A_23_P106661"	168
"A_23_P106663"	105
"A_23_P106675"	387.5
"A_23_P106682"	8203
"A_23_P106694"	2419.5
"A_23_P106708"	122653
"A_23_P106720"	318.5
"A_23_P106727"	1749
"A_23_P106737"	562
"A_23_P106741"	13257.5
"A_23_P106761"	971
"A_23_P106773"	2713.5
"A_23_P106798"	395
"A_23_P106806"	124
"A_23_P106814"	165
"A_23_P106822"	2226.5
"A_23_P106835"	1837.5
"A_23_P106844"	12734
"A_23_P10685"	2142
"A_23_P106859"	5679
"A_23_P106874"	187
"A_23_P106887"	5389.5
"A_23_P106898"	491
"A_23_P106906"	207
"A_23_P106922"	703
"A_23_P106933"	107.5
"A_23_P106945"	218
"A_23_P106973"	17488.5
"A_23_P10699"	257
"A_23_P106998"	2052
"A_23_P10701"	382.5
"A_23_P107036"	2033
"A_23_P107048"	719.5
"A_23_P107051"	395
"A_23_P107064"	120
"A_23_P107073"	7968
"A_23_P107087"	632
"A_23_P107102"	88
"A_23_P107116"	432.5
"A_23_P107132"	85.5
"A_23_P107154"	1460.5
"A_23_P107166"	214
"A_23_P107173"	109
"A_23_P1072"	8917.5
"A_23_P107206"	347.25
"A_23_P10721"	85
"A_23_P107211"	424
"A_23_P107214"	1373
"A_23_P107238"	120
"A_23_P107247"	128
"A_23_P107257"	884
"A_23_P107283"	2094
"A_23_P107295"	490
"A_23_P107307"	285
"A_23_P107313"	632
"A_23_P107322"	531.5
"A_23_P107336"	115
"A_23_P107350"	105
"A_23_P107351"	1867
"A_23_P107369"	10675
"A_23_P107373"	1301
"A_23_P107394"	13076
"A_23_P107401"	4592
"A_23_P107412"	9927
"A_23_P107421"	41261.4
"A_23_P10743"	152.5
"A_23_P107432"	493
"A_23_P107443"	88
"A_23_P107454"	195
"A_23_P107465"	148
"A_23_P107483"	118
"A_23_P107507"	593
"A_23_P107513"	344
"A_23_P10753"	87
"A_23_P107531"	89
"A_23_P107552"	442
"A_23_P107565"	91
"A_23_P107578"	108
"A_23_P107587"	695
"A_23_P107597"	105
"A_23_P107612"	126
"A_23_P107623"	86
"A_23_P107644"	21968.2
"A_23_P107653"	14332.5
"A_23_P107661"	2649
"A_23_P107673"	106
"A_23_P107684"	486
"A_23_P107693"	203.5
"A_23_P107701"	1611
"A_23_P107714"	267
"A_23_P107724"	294
"A_23_P107735"	652.5
"A_23_P107744"	135
"A_23_P107750"	80.5
"A_23_P107763"	859
"A_23_P107775"	162
"A_23_P107795"	4471.5
"A_23_P107801"	649.5
"A_23_P107847"	160
"A_23_P10785"	470.5
"A_23_P107855"	215
"A_23_P107881"	153
"A_23_P107894"	608
"A_23_P107903"	577
"A_23_P107911"	173
"A_23_P107933"	252
"A_23_P107942"	426.5
"A_23_P107959"	3297
"A_23_P107963"	192
"A_23_P107974"	98
"A_23_P10798"	182
"A_23_P107981"	135
"A_23_P107994"	2090.5
"A_23_P108028"	747
"A_23_P108042"	109
"A_23_P108054"	613.5
"A_23_P108062"	120
"A_23_P108075"	160
"A_23_P108082"	269
"A_23_P108103"	1090.5
"A_23_P108129"	141
"A_23_P108135"	7905
"A_23_P108143"	2794
"A_23_P10815"	3240
"A_23_P108157"	162
"A_23_P108170"	162
"A_23_P108180"	93
"A_23_P108200"	162.5
"A_23_P108216"	105.5
"A_23_P108221"	90.5
"A_23_P108244"	6832
"A_23_P108265"	141
"A_23_P108280"	172
"A_23_P108294"	833
"A_23_P1083"	99.5
"A_23_P108303"	6150
"A_23_P108314"	102
"A_23_P108326"	1033
"A_23_P108331"	7617
"A_23_P108342"	177
"A_23_P108376"	695
"A_23_P10839"	1336
"A_23_P108394"	1009
"A_23_P108404"	731.5
"A_23_P108415"	12676
"A_23_P108427"	292
"A_23_P108437"	1442
"A_23_P108463"	205
"A_23_P108492"	116.5
"A_23_P108501"	373
"A_23_P108514"	306.5
"A_23_P108522"	2970.5
"A_23_P108534"	122
"A_23_P108546"	85
"A_23_P108554"	12077
"A_23_P108564"	90
"A_23_P108574"	890.5
"A_23_P10858"	500
"A_23_P108592"	93.5
"A_23_P108604"	2321
"A_23_P108641"	7355.5
"A_23_P108657"	364
"A_23_P108662"	5713
"A_23_P108673"	529
"A_23_P108699"	105
"A_23_P10870"	670
"A_23_P108708"	6953.5
"A_23_P10873"	170
"A_23_P108734"	86.5
"A_23_P108743"	95
"A_23_P108751"	15079.5
"A_23_P108761"	962.5
"A_23_P108785"	4185
"A_23_P108819"	108
"A_23_P108823"	814
"A_23_P108835"	995
"A_23_P108842"	859.5
"A_23_P10885"	123
"A_23_P108871"	1767
"A_23_P108883"	151
"A_23_P108911"	107
"A_23_P108922"	189.5
"A_23_P108932"	284.5
"A_23_P108948"	831.5
"A_23_P108970"	100
"A_23_P108990"	86
"A_23_P108994"	2982
"A_23_P109001"	191
"A_23_P109017"	1068.5
"A_23_P10902"	210
"A_23_P109026"	1525
"A_23_P109034"	1428
"A_23_P109055"	148
"A_23_P109072"	1862
"A_23_P10911"	240
"A_23_P109122"	1218
"A_23_P109133"	109
"A_23_P109143"	4229.9
"A_23_P109171"	577
"A_23_P109184"	127
"A_23_P109193"	99
"A_23_P109201"	11171
"A_23_P109224"	131
"A_23_P109229"	94
"A_23_P109235"	1202.5
"A_23_P109254"	4676
"A_23_P109269"	708.5
"A_23_P10927"	166
"A_23_P109286"	84
"A_23_P109304"	230
"A_23_P109320"	210
"A_23_P109322"	643
"A_23_P109333"	5207
"A_23_P109345"	11165
"A_23_P10936"	92
"A_23_P109382"	86.5
"A_23_P109393"	164.5
"A_23_P109410"	349
"A_23_P109420"	1049
"A_23_P109427"	768
"A_23_P109436"	444.5
"A_23_P109442"	2586
"A_23_P109446"	1072
"A_23_P109452"	674
"A_23_P10947"	109
"A_23_P109470"	547
"A_23_P109488"	111.5
"A_23_P109508"	137
"A_23_P109547"	682
"A_23_P10956"	99
"A_23_P109593"	520
"A_23_P109606"	946
"A_23_P109614"	84
"A_23_P109636"	2066
"A_23_P109643"	434.5
"A_23_P109655"	504.5
"A_23_P10966"	134
"A_23_P109677"	11509
"A_23_P109682"	971
"A_23_P109720"	81
"A_23_P109733"	687
"A_23_P109768"	10024
"A_23_P109774"	565
"A_23_P109785"	102
"A_23_P109794"	123
"A_23_P10980"	147
"A_23_P109812"	98
"A_23_P109821"	10514
"A_23_P109843"	90
"A_23_P109864"	217
"A_23_P10987"	451
"A_23_P109877"	532.5
"A_23_P109881"	508.5
"A_23_P109895"	1244
"A_23_P109907"	28309.1
"A_23_P109913"	83
"A_23_P109928"	9720
"A_23_P109934"	269
"A_23_P10995"	98
"A_23_P109950"	324
"A_23_P109964"	102.5
"A_23_P109974"	304
"A_23_P109988"	263
"A_23_P110005"	751
"A_23_P110022"	360
"A_23_P110031"	466
"A_23_P11005"	2325
"A_23_P110052"	405
"A_23_P110062"	1380.5
"A_23_P110076"	635
"A_23_P110090"	104
"A_23_P110108"	118
"A_23_P110116"	270
"A_23_P110122"	1662
"A_23_P110135"	98
"A_23_P110151"	124.5
"A_23_P110167"	2512
"A_23_P11017"	235
"A_23_P110175"	100
"A_23_P110184"	553
"A_23_P110196"	250.5
"A_23_P1102"	257.5
"A_23_P110204"	94
"A_23_P110212"	891
"A_23_P110234"	116
"A_23_P110243"	644
"A_23_P11025"	290
"A_23_P110253"	190.9
"A_23_P110266"	126.5
"A_23_P110276"	221
"A_23_P110288"	155
"A_23_P110299"	92
"A_23_P110304"	183.5
"A_23_P110319"	86
"A_23_P11032"	144.5
"A_23_P110345"	619
"A_23_P110362"	772
"A_23_P110386"	82
"A_23_P110403"	458
"A_23_P110412"	120
"A_23_P110430"	227
"A_23_P110433"	1836
"A_23_P110445"	678
"A_23_P110462"	91.5
"A_23_P110473"	547
"A_23_P110492"	1337
"A_23_P110504"	4518.5
"A_23_P11051"	144
"A_23_P110531"	6440
"A_23_P110557"	122
"A_23_P110569"	238
"A_23_P110571"	580
"A_23_P110585"	553
"A_23_P110598"	515.5
"A_23_P110606"	457.5
"A_23_P110611"	532
"A_23_P110624"	1217
"A_23_P110643"	240
"A_23_P110655"	1209
"A_23_P110661"	5973
"A_23_P110686"	2857
"A_23_P110699"	140
"A_23_P11070"	100
"A_23_P110704"	3060.5
"A_23_P11071"	3228
"A_23_P110712"	1698
"A_23_P110725"	595
"A_23_P110764"	84
"A_23_P110777"	86
"A_23_P110787"	214
"A_23_P110791"	1791
"A_23_P110802"	1718
"A_23_P11081"	88.5
"A_23_P110811"	24641.9
"A_23_P110837"	405.5
"A_23_P110846"	891
"A_23_P110851"	739.95
"A_23_P110879"	188
"A_23_P110882"	1019
"A_23_P110896"	202
"A_23_P110903"	127
"A_23_P110941"	564
"A_23_P110957"	2052.5
"A_23_P110961"	2985
"A_23_P111000"	2627.5
"A_23_P111005"	3877
"A_23_P111020"	138.5
"A_23_P11103"	89
"A_23_P111037"	7396
"A_23_P111041"	1626
"A_23_P111054"	1300
"A_23_P111088"	105
"A_23_P111092"	1786
"A_23_P111112"	5674
"A_23_P111126"	173
"A_23_P111132"	10760
"A_23_P111141"	3176
"A_23_P111155"	91
"A_23_P111171"	327.5
"A_23_P111188"	230
"A_23_P11119"	90
"A_23_P111194"	404.5
"A_23_P111206"	244.5
"A_23_P111228"	400
"A_23_P111240"	500.5
"A_23_P111260"	410
"A_23_P111267"	243
"A_23_P111273"	8366
"A_23_P111288"	11451
"A_23_P111297"	1349.5
"A_23_P111303"	1168
"A_23_P111306"	772
"A_23_P111311"	250
"A_23_P111321"	158.5
"A_23_P111343"	1272.5
"A_23_P111360"	230.5
"A_23_P111361"	101
"A_23_P111373"	1547
"A_23_P111381"	813.5
"A_23_P111395"	87
"A_23_P111402"	82.5
"A_23_P111413"	215
"A_23_P11144"	98.5
"A_23_P111452"	5614
"A_23_P111480"	121.5
"A_23_P111481"	11674
"A_23_P111487"	360
"A_23_P111492"	171.5
"A_23_P111506"	16700
"A_23_P111517"	125
"A_23_P111525"	1122
"A_23_P111531"	1694
"A_23_P111571"	19618
"A_23_P111583"	181
"A_23_P111593"	162
"A_23_P11160"	341
"A_23_P111604"	95
"A_23_P111621"	2592.5
"A_23_P111635"	842.5
"A_23_P111657"	96
"A_23_P111662"	92
"A_23_P111672"	348
"A_23_P111698"	118
"A_23_P1117"	126
"A_23_P111701"	4467
"A_23_P111712"	293.5
"A_23_P111724"	89
"A_23_P111737"	144
"A_23_P111745"	1443.5
"A_23_P111753"	6786
"A_23_P111766"	6674
"A_23_P111797"	1863
"A_23_P111804"	430
"A_23_P111811"	1205
"A_23_P111826"	92
"A_23_P111835"	4901
"A_23_P111843"	8304
"A_23_P111860"	897
"A_23_P111865"	244
"A_23_P111888"	1063
"A_23_P111919"	104.5
"A_23_P11192"	8605
"A_23_P111929"	169
"A_23_P111947"	75.5
"A_23_P111961"	1552
"A_23_P111978"	118
"A_23_P111981"	246
"A_23_P111995"	5810.9
"A_23_P112004"	127
"A_23_P11201"	94
"A_23_P112016"	101
"A_23_P112026"	465
"A_23_P112061"	1670
"A_23_P112078"	210
"A_23_P112086"	84
"A_23_P112100"	84.5
"A_23_P112103"	365.5
"A_23_P112113"	1628.5
"A_23_P112135"	4607
"A_23_P11214"	1178
"A_23_P112159"	898
"A_23_P112162"	859
"A_23_P112173"	83
"A_23_P112187"	116
"A_23_P112201"	449
"A_23_P112220"	219.5
"A_23_P11224"	1903.5
"A_23_P112241"	1002
"A_23_P112251"	3550
"A_23_P112260"	1360.5
"A_23_P112275"	92
"A_23_P112289"	144
"A_23_P112296"	95.5
"A_23_P112311"	243
"A_23_P112327"	84
