""	"rRaw_arrays_scanner_file2.txt"
"A_23_P102286"	150.5
"A_23_P10232"	277.5
"A_23_P102320"	3423
"A_23_P102331"	181
"A_23_P102351"	299
"A_23_P102364"	973
"A_23_P102391"	1931.5
"A_23_P102404"	105118
"A_23_P102412"	5914.5
"A_23_P102420"	308423
"A_23_P102439"	692
"A_23_P102454"	10810
"A_23_P102462"	361.5
"A_23_P102471"	3670.1
"A_23_P102481"	160
"A_23_P102494"	1331
"A_23_P102508"	5565
"A_23_P102517"	13128
"A_23_P102523"	1338.5
"A_23_P102542"	14865
"A_23_P102551"	117.5
"A_23_P102571"	32002.2
"A_23_P102575"	7001.5
"A_23_P102582"	279404
"A_23_P102607"	211
"A_23_P102611"	3952.5
"A_23_P102622"	494
"A_23_P102634"	160
"A_23_P102681"	197
"A_23_P102694"	333
"A_23_P102706"	523
"A_23_P102731"	8602
"A_23_P102743"	1099
"A_23_P102759"	356.5
"A_23_P102769"	1985
"A_23_P102770"	19121
"A_23_P102816"	904.5
"A_23_P102832"	13781
"A_23_P102842"	11566
"A_23_P102864"	169
"A_23_P102876"	76383.6
"A_23_P102884"	754
"A_23_P102890"	258601
"A_23_P1029"	611
"A_23_P10291"	450.5
"A_23_P102917"	145.5
"A_23_P102919"	148
"A_23_P102925"	4943
"A_23_P102937"	18830
"A_23_P102950"	352.5
"A_23_P102965"	7427.5
"A_23_P102973"	6110.5
"A_23_P102988"	863
"A_23_P102994"	46211.7
"A_23_P103011"	4308
"A_23_P103034"	218
"A_23_P103041"	341
"A_23_P10305"	1535
"A_23_P103062"	4954.5
"A_23_P103070"	18062
"A_23_P103084"	3021
"A_23_P103099"	904
"A_23_P103104"	16304
"A_23_P103110"	21347.5
"A_23_P103120"	22214.1
"A_23_P103131"	35512.7
"A_23_P103149"	202211
"A_23_P103172"	10229
"A_23_P103180"	2365
"A_23_P103201"	21869.4
"A_23_P103226"	242
"A_23_P103232"	72119.8
"A_23_P103248"	1403
"A_23_P103256"	203.5
"A_23_P103269"	154
"A_23_P103276"	1458.5
"A_23_P103282"	145910
"A_23_P103310"	324
"A_23_P103315"	45315.6
"A_23_P103328"	192
"A_23_P103334"	1860
"A_23_P103349"	190
"A_23_P103361"	971.2
"A_23_P103371"	278.5
"A_23_P103398"	91292.3
"A_23_P103405"	569
"A_23_P103414"	50150.6
"A_23_P103424"	155
"A_23_P103433"	4717
"A_23_P103442"	20343.1
"A_23_P103454"	81671.6
"A_23_P103465"	616
"A_23_P103476"	2945.5
"A_23_P103486"	591
"A_23_P103496"	437
"A_23_P103503"	2338
"A_23_P103511"	12753
"A_23_P103522"	164.5
"A_23_P103532"	1421
"A_23_P10356"	550.5
"A_23_P103561"	1403
"A_23_P103571"	1072.5
"A_23_P103588"	233
"A_23_P103601"	23307.1
"A_23_P103617"	676
"A_23_P103628"	7617
"A_23_P103631"	49028
"A_23_P103661"	18960.5
"A_23_P103672"	34995.8
"A_23_P103690"	5718
"A_23_P103698"	52317
"A_23_P103703"	658.5
"A_23_P103720"	551
"A_23_P10374"	16482
"A_23_P103743"	146
"A_23_P103756"	1096
"A_23_P103765"	182
"A_23_P103775"	668
"A_23_P103787"	5799
"A_23_P103795"	844
"A_23_P1038"	1577
"A_23_P103803"	212
"A_23_P103812"	277
"A_23_P103824"	13538
"A_23_P103837"	6713
"A_23_P10385"	574.15
"A_23_P103864"	2495
"A_23_P103877"	462
"A_23_P103885"	47821.8
"A_23_P103897"	425.5
"A_23_P103905"	13302
"A_23_P10391"	249
"A_23_P103919"	12884.5
"A_23_P103923"	1043.5
"A_23_P103932"	488677
"A_23_P103942"	13871.5
"A_23_P103951"	5921
"A_23_P103968"	20029
"A_23_P103971"	180
"A_23_P103981"	44508.2
"A_23_P103996"	6271
"A_23_P10401"	3215
"A_23_P104012"	149.5
"A_23_P104022"	4702
"A_23_P104025"	1468
"A_23_P104046"	3387
"A_23_P104054"	4559
"A_23_P104065"	7115
"A_23_P104073"	381
"A_23_P104086"	997
"A_23_P104098"	731
"A_23_P104109"	2427
"A_23_P104116"	105994
"A_23_P104138"	296
"A_23_P104146"	4513
"A_23_P104151"	5251
"A_23_P104188"	613.5
"A_23_P104193"	61721.1
"A_23_P104199"	29447.34
"A_23_P104201"	69283.8
"A_23_P104224"	251
"A_23_P104237"	197.5
"A_23_P104252"	210
"A_23_P104275"	178
"A_23_P104282"	2140.5
"A_23_P104295"	2400
"A_23_P1043"	376
"A_23_P104318"	36571.3
"A_23_P104323"	4975
"A_23_P104335"	111
"A_23_P104346"	8534
"A_23_P104351"	39033.1
"A_23_P104362"	70421.1
"A_23_P104372"	22219
"A_23_P104387"	66428.1
"A_23_P104413"	235022
"A_23_P10442"	25247
"A_23_P104438"	467
"A_23_P104445"	10507.5
"A_23_P104451"	20362.8
"A_23_P104464"	7293
"A_23_P104471"	74473.2
"A_23_P104484"	266
"A_23_P104493"	10971
"A_23_P104509"	939
"A_23_P104522"	179
"A_23_P104555"	304
"A_23_P104563"	2227
"A_23_P104579"	2875
"A_23_P10458"	238
"A_23_P104583"	10877.5
"A_23_P104594"	368
"A_23_P104607"	19155
"A_23_P104617"	1369
"A_23_P104624"	4042
"A_23_P10463"	170090
"A_23_P104641"	15746
"A_23_P104651"	3844
"A_23_P104676"	30835.3
"A_23_P104689"	8135.3
"A_23_P104692"	11238
"A_23_P104705"	801
"A_23_P104734"	31844.6
"A_23_P104741"	337.5
"A_23_P104762"	423
"A_23_P104798"	7168.4
"A_23_P104804"	647
"A_23_P104819"	318
"A_23_P104845"	284
"A_23_P104853"	143
"A_23_P104865"	165
"A_23_P104876"	6656.5
"A_23_P10488"	146
"A_23_P104881"	263
"A_23_P104892"	271230
"A_23_P104942"	24332
"A_23_P10497"	24513.4
"A_23_P104972"	246
"A_23_P104996"	2459
"A_23_P10500"	362
"A_23_P105002"	1795.5
"A_23_P105012"	199.5
"A_23_P105028"	9812
"A_23_P105044"	18332
"A_23_P10506"	13032.5
"A_23_P105066"	16711
"A_23_P105088"	201
"A_23_P105118"	248.5
"A_23_P105138"	27009.7
"A_23_P105144"	816.5
"A_23_P10518"	357
"A_23_P105184"	86486.9
"A_23_P105197"	904
"A_23_P105212"	149
"A_23_P105227"	1144.5
"A_23_P10525"	176
"A_23_P105251"	402
"A_23_P105264"	7578
"A_23_P105276"	3667.5
"A_23_P105307"	1530
"A_23_P105313"	28664
"A_23_P105368"	236
"A_23_P105382"	712.5
"A_23_P105392"	95920.5
"A_23_P105409"	1198.5
"A_23_P10542"	522
"A_23_P105423"	213
"A_23_P105436"	705
"A_23_P105442"	8074
"A_23_P105453"	147
"A_23_P105461"	2356.5
"A_23_P105465"	885.5
"A_23_P105475"	145
"A_23_P105495"	199.5
"A_23_P105519"	6045
"A_23_P105524"	176.5
"A_23_P105535"	6959
"A_23_P105545"	314
"A_23_P105562"	6933.95
"A_23_P105571"	6830
"A_23_P105583"	1828
"A_23_P10559"	3480
"A_23_P105592"	33789.5
"A_23_P1056"	2546
"A_23_P10561"	189
"A_23_P105619"	1563.5
"A_23_P105625"	20096.9
"A_23_P10564"	133
"A_23_P105646"	3979
"A_23_P105651"	125
"A_23_P105664"	16290
"A_23_P105691"	298
"A_23_P105705"	153
"A_23_P105730"	174
"A_23_P105732"	16170
"A_23_P105747"	1686
"A_23_P105753"	3098
"A_23_P105794"	633
"A_23_P105803"	238.5
"A_23_P105815"	430.5
"A_23_P105833"	1640.5
"A_23_P105856"	572
"A_23_P105862"	1777
"A_23_P105873"	161
"A_23_P105886"	159
"A_23_P105900"	38718
"A_23_P10591"	178696
"A_23_P105923"	328.5
"A_23_P105939"	192
"A_23_P105957"	104251
"A_23_P105963"	165
"A_23_P105973"	218
"A_23_P106"	1391
"A_23_P106002"	224171
"A_23_P106016"	295
"A_23_P106024"	371
"A_23_P106042"	266
"A_23_P10605"	13843.5
"A_23_P106056"	105413
"A_23_P106069"	161
"A_23_P106080"	250
"A_23_P106103"	278
"A_23_P106117"	332
"A_23_P106127"	5191
"A_23_P106131"	58688.2
"A_23_P10614"	2471
"A_23_P106145"	196342
"A_23_P106158"	1399
"A_23_P106162"	2072
"A_23_P106174"	2479
"A_23_P106194"	21574
"A_23_P106204"	4691
"A_23_P106226"	58968.8
"A_23_P106236"	192
"A_23_P106241"	21209.6
"A_23_P106258"	906
"A_23_P106280"	4583
"A_23_P106299"	266686
"A_23_P106322"	2244
"A_23_P106362"	151833
"A_23_P106371"	490
"A_23_P106389"	856
"A_23_P106391"	356
"A_23_P10640"	438
"A_23_P106405"	2549.5
"A_23_P106412"	687
"A_23_P106425"	1598
"A_23_P106433"	5762.5
"A_23_P106439"	2871
"A_23_P106463"	34124.3
"A_23_P10647"	571
"A_23_P106472"	380288
"A_23_P106481"	38885.4
"A_23_P106497"	2313.5
"A_23_P106505"	1610.5
"A_23_P106522"	10578
"A_23_P106532"	5074.5
"A_23_P106544"	22573.5
"A_23_P106559"	2944
"A_23_P106562"	38530.9
"A_23_P106575"	21347.5
"A_23_P106602"	344
"A_23_P106617"	503
"A_23_P106629"	8033
"A_23_P106633"	22918.1
"A_23_P106656"	273.5
"A_23_P106661"	634
"A_23_P106663"	234
"A_23_P106675"	25768.9
"A_23_P106682"	2979
"A_23_P106694"	30406.9
"A_23_P106708"	527790
"A_23_P106720"	1710.5
"A_23_P106727"	4493
"A_23_P106737"	1322
"A_23_P106741"	94404
"A_23_P106761"	10614
"A_23_P106773"	19265
"A_23_P106798"	1605.5
"A_23_P106806"	290
"A_23_P106814"	233
"A_23_P106822"	5858
"A_23_P106835"	13539.5
"A_23_P106844"	629517
"A_23_P10685"	13561
"A_23_P106859"	37954.8
"A_23_P106874"	5914
"A_23_P106887"	18007
"A_23_P106898"	4559
"A_23_P106906"	472
"A_23_P106922"	366
"A_23_P106933"	215.5
"A_23_P106945"	7868
"A_23_P106973"	642136
"A_23_P10699"	2551
"A_23_P106998"	5598
"A_23_P10701"	3830.5
"A_23_P107036"	31529.5
"A_23_P107048"	3327
"A_23_P107051"	3129
"A_23_P107064"	412
"A_23_P107073"	48383
"A_23_P107087"	1941
"A_23_P107102"	144
"A_23_P107116"	487.5
"A_23_P107132"	141.5
"A_23_P107154"	13269.5
"A_23_P107166"	740.5
"A_23_P107173"	294.5
"A_23_P1072"	162640
"A_23_P107206"	7453.7
"A_23_P10721"	129
"A_23_P107211"	8129
"A_23_P107214"	33046
"A_23_P107238"	223
"A_23_P107247"	2251
"A_23_P107257"	4091
"A_23_P107283"	2306
"A_23_P107295"	2496
"A_23_P107307"	3504
"A_23_P107313"	7352
"A_23_P107322"	2726
"A_23_P107336"	980
"A_23_P107350"	636
"A_23_P107351"	1512
"A_23_P107369"	120292
"A_23_P107373"	11401
"A_23_P107394"	294588
"A_23_P107401"	464433
"A_23_P107412"	255672
"A_23_P107421"	40076.9
"A_23_P10743"	1939
"A_23_P107432"	534
"A_23_P107443"	117
"A_23_P107454"	537.5
"A_23_P107465"	1147.5
"A_23_P107483"	637
"A_23_P107507"	2909
"A_23_P107513"	1359
"A_23_P10753"	139
"A_23_P107531"	199
"A_23_P107552"	5213
"A_23_P107565"	144
"A_23_P107578"	272
"A_23_P107587"	34700.3
"A_23_P107597"	224
"A_23_P107612"	146
"A_23_P107623"	127.5
"A_23_P107644"	48122.1
"A_23_P107653"	64271.05
"A_23_P107661"	45330.4
"A_23_P107673"	366
"A_23_P107684"	2505
"A_23_P107693"	2392.5
"A_23_P107701"	16359
"A_23_P107714"	1616
"A_23_P107724"	1285.5
"A_23_P107735"	10510.5
"A_23_P107744"	202
"A_23_P107750"	145.5
"A_23_P107763"	7162
"A_23_P107775"	552
"A_23_P107795"	56157.4
"A_23_P107801"	2892.5
"A_23_P107847"	6098
"A_23_P10785"	10728.5
"A_23_P107855"	708
"A_23_P107881"	846
"A_23_P107894"	7029
"A_23_P107903"	2557
"A_23_P107911"	636
"A_23_P107933"	2303
"A_23_P107942"	1915
"A_23_P107959"	33371
"A_23_P107963"	284
"A_23_P107974"	288
"A_23_P10798"	679
"A_23_P107981"	257
"A_23_P107994"	12170
"A_23_P108028"	1697
"A_23_P108042"	246.5
"A_23_P108054"	2017.5
"A_23_P108062"	414
"A_23_P108075"	198
"A_23_P108082"	218
"A_23_P108103"	3451
"A_23_P108129"	648.5
"A_23_P108135"	164974
"A_23_P108143"	3828
"A_23_P10815"	37172
"A_23_P108157"	522
"A_23_P108170"	167
"A_23_P108180"	308
"A_23_P108200"	351
"A_23_P108216"	154
"A_23_P108221"	194.5
"A_23_P108244"	61617.7
"A_23_P108265"	562
"A_23_P108280"	204
"A_23_P108294"	1448
"A_23_P1083"	248
"A_23_P108303"	48540.6
"A_23_P108314"	262
"A_23_P108326"	2184
"A_23_P108331"	68210.4
"A_23_P108342"	501
"A_23_P108376"	11268
"A_23_P10839"	13372
"A_23_P108394"	7727
"A_23_P108404"	643.5
"A_23_P108415"	74212.3
"A_23_P108427"	294
"A_23_P108437"	3280
"A_23_P108463"	494
"A_23_P108492"	340
"A_23_P108501"	338
"A_23_P108514"	2729
"A_23_P108522"	46457.9
"A_23_P108534"	267
"A_23_P108546"	143
"A_23_P108554"	70775.6
"A_23_P108564"	156
"A_23_P108574"	4203
"A_23_P10858"	3408
"A_23_P108592"	447.5
"A_23_P108604"	24784.2
"A_23_P108641"	25222.4
"A_23_P108657"	3665
"A_23_P108662"	80686.8
"A_23_P108673"	186
"A_23_P108699"	312
"A_23_P10870"	3598
"A_23_P108708"	103070
"A_23_P10873"	35084.4
"A_23_P108734"	183.5
"A_23_P108743"	189
"A_23_P108751"	1542
"A_23_P108761"	8391.5
"A_23_P108785"	150996
"A_23_P108819"	319
"A_23_P108823"	480
"A_23_P108835"	18190.5
"A_23_P108842"	31962.8
"A_23_P10885"	500
"A_23_P108871"	8448
"A_23_P108883"	225
"A_23_P108911"	2009
"A_23_P108922"	2178
"A_23_P108932"	268
"A_23_P108948"	57851.1
"A_23_P108970"	269
"A_23_P108990"	149
"A_23_P108994"	28713.2
"A_23_P109001"	667.5
"A_23_P109017"	4949.5
"A_23_P10902"	238
"A_23_P109026"	20205.2
"A_23_P109034"	13820
"A_23_P109055"	489
"A_23_P109072"	1772
"A_23_P10911"	4824.5
"A_23_P109122"	3775
"A_23_P109133"	657
"A_23_P109143"	61898.36
"A_23_P109171"	338.5
"A_23_P109184"	18103
"A_23_P109193"	338
"A_23_P109201"	172990
"A_23_P109224"	518
"A_23_P109229"	205
"A_23_P109235"	11679.5
"A_23_P109254"	40195.1
"A_23_P109269"	812
"A_23_P10927"	2049
"A_23_P109286"	134
"A_23_P109304"	7771
"A_23_P109320"	303
"A_23_P109322"	731
"A_23_P109333"	36886.4
"A_23_P109345"	138874
"A_23_P10936"	186.5
"A_23_P109382"	161.5
"A_23_P109393"	533
"A_23_P109410"	862
"A_23_P109420"	21972.8
"A_23_P109427"	4838.5
"A_23_P109436"	1776
"A_23_P109442"	11371
"A_23_P109446"	5680
"A_23_P109452"	2351
"A_23_P10947"	2098
"A_23_P109470"	8675
"A_23_P109488"	2592
"A_23_P109508"	5579
"A_23_P109547"	9329
"A_23_P10956"	318
"A_23_P109593"	17560
"A_23_P109606"	14450
"A_23_P109614"	137
"A_23_P109636"	1336
"A_23_P109643"	6203
"A_23_P109655"	4592.5
"A_23_P10966"	145
"A_23_P109677"	26064.3
"A_23_P109682"	7073
"A_23_P109720"	137
"A_23_P109733"	2660
"A_23_P109768"	85127.9
"A_23_P109774"	6753
"A_23_P109785"	136
"A_23_P109794"	506
"A_23_P10980"	113
"A_23_P109812"	324
"A_23_P109821"	92503.5
"A_23_P109843"	193
"A_23_P109864"	3843
"A_23_P10987"	2034
"A_23_P109877"	6997.5
"A_23_P109881"	3179
"A_23_P109895"	8652
"A_23_P109907"	128677
"A_23_P109913"	239
"A_23_P109928"	68003.6
"A_23_P109934"	955
"A_23_P10995"	234
"A_23_P109950"	791
"A_23_P109964"	289
"A_23_P109974"	11557
"A_23_P109988"	10121
"A_23_P110005"	4490
"A_23_P110022"	486
"A_23_P110031"	11564
"A_23_P11005"	38796.8
"A_23_P110052"	223
"A_23_P110062"	14998.5
"A_23_P110076"	2146
"A_23_P110090"	218
"A_23_P110108"	2688
"A_23_P110116"	19233
"A_23_P110122"	11181.5
"A_23_P110135"	239
"A_23_P110151"	703
"A_23_P110167"	41071.5
"A_23_P11017"	185
"A_23_P110175"	694.5
"A_23_P110184"	4775
"A_23_P110196"	765
"A_23_P1102"	363.5
"A_23_P110204"	9024
"A_23_P110212"	90859
"A_23_P110234"	365
"A_23_P110243"	3307
"A_23_P11025"	2735
"A_23_P110253"	160.95
"A_23_P110266"	132
"A_23_P110276"	256
"A_23_P110288"	277
"A_23_P110299"	243
"A_23_P110304"	1639
"A_23_P110319"	128
"A_23_P11032"	4034.5
"A_23_P110345"	8535
"A_23_P110362"	13426
"A_23_P110386"	174
"A_23_P110403"	147
"A_23_P110412"	220
"A_23_P110430"	280.5
"A_23_P110433"	7310
"A_23_P110445"	4270
"A_23_P110462"	211.5
"A_23_P110473"	2791
"A_23_P110492"	7173
"A_23_P110504"	40973
"A_23_P11051"	912.5
"A_23_P110531"	1846
"A_23_P110557"	473
"A_23_P110569"	757
"A_23_P110571"	1571.5
"A_23_P110585"	3453
"A_23_P110598"	4440
"A_23_P110606"	2827.5
"A_23_P110611"	3965
"A_23_P110624"	677.5
"A_23_P110643"	2914
"A_23_P110655"	3610
"A_23_P110661"	30850.1
"A_23_P110686"	3121
"A_23_P110699"	324.5
"A_23_P11070"	162
"A_23_P110704"	36423.6
"A_23_P11071"	14480
"A_23_P110712"	74650.5
"A_23_P110725"	4980
"A_23_P110764"	116
"A_23_P110777"	162
"A_23_P110787"	2859
"A_23_P110791"	370820
"A_23_P110802"	1746
"A_23_P11081"	125
"A_23_P110811"	210513
"A_23_P110837"	347
"A_23_P110846"	7915
"A_23_P110851"	644.85
"A_23_P110879"	2683
"A_23_P110882"	3730
"A_23_P110896"	10628
"A_23_P110903"	183
"A_23_P110941"	874
"A_23_P110957"	794.5
"A_23_P110961"	61534
"A_23_P111000"	21889.1
"A_23_P111005"	33430
"A_23_P111020"	928.5
"A_23_P11103"	169
"A_23_P111037"	42716
"A_23_P111041"	7684
"A_23_P111054"	4593
"A_23_P111088"	313
"A_23_P111092"	28476.9
"A_23_P111112"	23858.5
"A_23_P111126"	6330
"A_23_P111132"	288759
"A_23_P111141"	28078.1
"A_23_P111155"	160
"A_23_P111171"	15640
"A_23_P111188"	1657
"A_23_P11119"	122
"A_23_P111194"	929
"A_23_P111206"	1437
"A_23_P111228"	1647
"A_23_P111240"	8219.5
"A_23_P111260"	531
"A_23_P111267"	254
"A_23_P111273"	18023
"A_23_P111288"	111420
"A_23_P111297"	1531
"A_23_P111303"	5959
"A_23_P111306"	2925
"A_23_P111311"	244
"A_23_P111321"	895.5
"A_23_P111343"	12614
"A_23_P111360"	673.5
"A_23_P111361"	267
"A_23_P111373"	15759
"A_23_P111381"	12513
"A_23_P111395"	201
"A_23_P111402"	110.5
"A_23_P111413"	1390
"A_23_P11144"	659
"A_23_P111452"	87240.2
"A_23_P111480"	322.5
"A_23_P111481"	75866.6
"A_23_P111487"	2107
"A_23_P111492"	1238.5
"A_23_P111506"	589906
"A_23_P111517"	288
"A_23_P111525"	3045.5
"A_23_P111531"	1006
"A_23_P111571"	601132
"A_23_P111583"	257553
"A_23_P111593"	1028
"A_23_P11160"	589
"A_23_P111604"	133
"A_23_P111621"	12597.5
"A_23_P111635"	10722
"A_23_P111657"	256
"A_23_P111662"	180
"A_23_P111672"	3361
"A_23_P111698"	453
"A_23_P1117"	667
"A_23_P111701"	362.5
"A_23_P111712"	1396.5
"A_23_P111724"	129
"A_23_P111737"	235
"A_23_P111745"	14369
"A_23_P111753"	29929.4
"A_23_P111766"	1319
"A_23_P111797"	8004
"A_23_P111804"	15423
"A_23_P111811"	3979.5
"A_23_P111826"	172
"A_23_P111835"	51332.3
"A_23_P111843"	74128.6
"A_23_P111860"	262
"A_23_P111865"	1140
"A_23_P111888"	321
"A_23_P111919"	133.5
"A_23_P11192"	32297.6
"A_23_P111929"	422
"A_23_P111947"	116
"A_23_P111961"	4956
"A_23_P111978"	526
"A_23_P111981"	3947.5
"A_23_P111995"	1500
"A_23_P112004"	2790.5
"A_23_P11201"	5492
"A_23_P112016"	290
"A_23_P112026"	387
"A_23_P112061"	42474.7
"A_23_P112078"	4556
"A_23_P112086"	202
"A_23_P112100"	127.5
"A_23_P112103"	2445
"A_23_P112113"	25867.4
"A_23_P112135"	85984.6
"A_23_P11214"	3756
"A_23_P112159"	17420.5
"A_23_P112162"	16918
"A_23_P112173"	194
"A_23_P112187"	325
"A_23_P112201"	3832
"A_23_P112220"	164.5
"A_23_P11224"	39850.4
"A_23_P112241"	47629.7
"A_23_P112251"	94985
"A_23_P112260"	29112
"A_23_P112275"	164
"A_23_P112289"	216
"A_23_P112296"	148.5
"A_23_P112311"	2030.5
"A_23_P112327"	215
