""	"gRaw_arrays_scanner_file1.txt"
"A_23_P10127"	7540
"A_23_P101272"	1224.5
"A_23_P101281"	497.5
"A_23_P101297"	295
"A_23_P101303"	1100
"A_23_P101308"	263.5
"A_23_P101319"	130
"A_23_P101321"	159.5
"A_23_P101332"	1987
"A_23_P101342"	316
"A_23_P10135"	546.5
"A_23_P101351"	740
"A_23_P101374"	203
"A_23_P101380"	834
"A_23_P101392"	320
"A_23_P1014"	1205.5
"A_23_P101407"	7430.5
"A_23_P101427"	166.5
"A_23_P101434"	106
"A_23_P101461"	6686
"A_23_P101476"	161.5
"A_23_P101480"	356
"A_23_P101505"	794.5
"A_23_P101516"	175
"A_23_P101521"	78
"A_23_P101532"	64534.2
"A_23_P101551"	2714.5
"A_23_P10156"	394
"A_23_P101564"	91
"A_23_P101573"	83
"A_23_P101615"	330
"A_23_P101623"	135
"A_23_P101636"	84
"A_23_P101642"	805
"A_23_P101655"	1207
"A_23_P101671"	231
"A_23_P101683"	81.5
"A_23_P101699"	566
"A_23_P101707"	1906.5
"A_23_P10172"	92
"A_23_P101737"	339
"A_23_P101742"	1413
"A_23_P101759"	205.5
"A_23_P101761"	910
"A_23_P101774"	89
"A_23_P101783"	115
"A_23_P101796"	392
"A_23_P101806"	698
"A_23_P101811"	223
"A_23_P10182"	603
"A_23_P101829"	215
"A_23_P101871"	326
"A_23_P101893"	163
"A_23_P101905"	269
"A_23_P101908"	192.5
"A_23_P10194"	5600
"A_23_P101943"	1189
"A_23_P101950"	9901
"A_23_P101960"	7311
"A_23_P101972"	156
"A_23_P101992"	169
"A_23_P102000"	3021.1
"A_23_P102017"	95
"A_23_P102037"	282
"A_23_P102058"	352
"A_23_P10206"	297
"A_23_P102060"	1751
"A_23_P102071"	975.5
"A_23_P102083"	68
"A_23_P102109"	1917
"A_23_P10211"	379
"A_23_P102113"	279
"A_23_P102117"	133
"A_23_P102122"	6253.5
"A_23_P102160"	205
"A_23_P102172"	79
"A_23_P102183"	2426
"A_23_P102192"	355
"A_23_P102202"	11726
"A_23_P102235"	5885
"A_23_P102242"	683
"A_23_P102258"	5873.5
"A_23_P102262"	7163
"A_23_P102278"	87
"A_23_P102286"	85.5
"A_23_P10232"	99
"A_23_P102320"	1915
"A_23_P102331"	81
"A_23_P102351"	184
"A_23_P102364"	2503.5
"A_23_P102391"	386
"A_23_P102404"	21629.9
"A_23_P102412"	747
"A_23_P102420"	49593.3
"A_23_P102439"	119
"A_23_P102454"	2043
"A_23_P102462"	117
"A_23_P102471"	3809.15
"A_23_P102481"	89
"A_23_P102494"	149
"A_23_P102508"	1182.5
"A_23_P102517"	1165
"A_23_P102523"	288.5
"A_23_P102542"	931.5
"A_23_P102551"	95.5
"A_23_P102571"	15099
"A_23_P102575"	3246.5
"A_23_P102582"	9381
"A_23_P102607"	105.5
"A_23_P102611"	8720.5
"A_23_P102622"	285
"A_23_P102634"	79
"A_23_P102681"	135
"A_23_P102694"	83.5
"A_23_P102706"	247
"A_23_P102731"	781
"A_23_P102743"	287
"A_23_P102759"	138
"A_23_P102769"	498
"A_23_P102770"	1588
"A_23_P102816"	216
"A_23_P102832"	2042
"A_23_P102842"	2041.5
"A_23_P102864"	242.5
"A_23_P102876"	12896
"A_23_P102884"	129
"A_23_P102890"	7136
"A_23_P1029"	467
"A_23_P10291"	114
"A_23_P102917"	91.5
"A_23_P102919"	87
"A_23_P102925"	1436
"A_23_P102937"	1490
"A_23_P102950"	180
"A_23_P102965"	600
"A_23_P102973"	726
"A_23_P102988"	173
"A_23_P102994"	3032
"A_23_P103011"	537
"A_23_P103034"	90
"A_23_P103041"	106
"A_23_P10305"	257
"A_23_P103062"	281
"A_23_P103070"	2849
"A_23_P103084"	177
"A_23_P103099"	472
"A_23_P103104"	488
"A_23_P103110"	717
"A_23_P103120"	3092
"A_23_P103131"	3394
"A_23_P103149"	5649.5
"A_23_P103172"	2215
"A_23_P103180"	680
"A_23_P103201"	2201
"A_23_P103226"	98
"A_23_P103232"	6305
"A_23_P103248"	533
"A_23_P103256"	197.5
"A_23_P103269"	114.5
"A_23_P103276"	299
"A_23_P103282"	9325
"A_23_P103310"	107.5
"A_23_P103315"	11200.5
"A_23_P103328"	128
"A_23_P103334"	192
"A_23_P103349"	83.5
"A_23_P103361"	1188.75
"A_23_P103371"	135
"A_23_P103398"	2641
"A_23_P103405"	178
"A_23_P103414"	4946
"A_23_P103424"	81
"A_23_P103433"	534.5
"A_23_P103442"	2955
"A_23_P103454"	11044
"A_23_P103465"	118.5
"A_23_P103476"	698
"A_23_P103486"	214
"A_23_P103496"	108
"A_23_P103503"	554
"A_23_P103511"	712.5
"A_23_P103522"	82
"A_23_P103532"	217
"A_23_P10356"	102
"A_23_P103561"	274
"A_23_P103571"	121
"A_23_P103588"	96
"A_23_P103601"	1778.5
"A_23_P103617"	224
"A_23_P103628"	2768
"A_23_P103631"	16923.5
"A_23_P103661"	3438
"A_23_P103672"	2898.5
"A_23_P103690"	1005
"A_23_P103698"	3372
"A_23_P103703"	166.5
"A_23_P103720"	1096
"A_23_P10374"	3247
"A_23_P103743"	87
"A_23_P103756"	156
"A_23_P103765"	81.5
"A_23_P103775"	160
"A_23_P103787"	1023
"A_23_P103795"	617
"A_23_P1038"	196
"A_23_P103803"	81
"A_23_P103812"	144.5
"A_23_P103824"	1076
"A_23_P103837"	819
"A_23_P10385"	1040.4
"A_23_P103864"	485
"A_23_P103877"	914
"A_23_P103885"	8531
"A_23_P103897"	104
"A_23_P103905"	1208.5
"A_23_P10391"	430
"A_23_P103919"	1757
"A_23_P103923"	131
"A_23_P103932"	1080
"A_23_P103942"	1387.5
"A_23_P103951"	5832
"A_23_P103968"	1337
"A_23_P103971"	97
"A_23_P103981"	19732
"A_23_P103996"	629
"A_23_P10401"	251.5
"A_23_P104012"	92
"A_23_P104022"	2387
"A_23_P104025"	569
"A_23_P104046"	501
"A_23_P104054"	1738.5
"A_23_P104065"	911
"A_23_P104073"	181
"A_23_P104086"	173
"A_23_P104098"	100
"A_23_P104109"	457
"A_23_P104116"	21624.7
"A_23_P104138"	219
"A_23_P104146"	728
"A_23_P104151"	424
"A_23_P104188"	540
"A_23_P104193"	2763
"A_23_P104199"	1128.55
"A_23_P104201"	5256
"A_23_P104224"	229
"A_23_P104237"	98
"A_23_P104252"	226
"A_23_P104275"	90
"A_23_P104282"	254
"A_23_P104295"	297
"A_23_P1043"	539
"A_23_P104318"	21087.7
"A_23_P104323"	586
"A_23_P104335"	80
"A_23_P104346"	457
"A_23_P104351"	2140
"A_23_P104362"	6140
"A_23_P104372"	6645
"A_23_P104387"	4674
"A_23_P104413"	9091
"A_23_P10442"	876
"A_23_P104438"	196.5
"A_23_P104445"	177.5
"A_23_P104451"	5345
"A_23_P104464"	181
"A_23_P104471"	1338
"A_23_P104484"	80
"A_23_P104493"	321
"A_23_P104509"	121
"A_23_P104522"	166
"A_23_P104555"	91
"A_23_P104563"	224
"A_23_P104579"	569
"A_23_P10458"	91
"A_23_P104583"	443.5
"A_23_P104594"	102
"A_23_P104607"	2069
"A_23_P104617"	244.5
"A_23_P104624"	1572
"A_23_P10463"	16057
"A_23_P104641"	2339
"A_23_P104651"	5964
"A_23_P104676"	3952
"A_23_P104689"	525.45
"A_23_P104692"	694
"A_23_P104705"	179
"A_23_P104734"	4757.5
"A_23_P104741"	250
"A_23_P104762"	545
"A_23_P104798"	186.1
"A_23_P104804"	277.5
"A_23_P104819"	98
"A_23_P104845"	89
"A_23_P104853"	94.5
"A_23_P104865"	79
"A_23_P104876"	1045
"A_23_P10488"	160
"A_23_P104881"	117.5
"A_23_P104892"	13696
"A_23_P104942"	3675
"A_23_P10497"	499
"A_23_P104972"	90
"A_23_P104996"	125
"A_23_P10500"	85
"A_23_P105002"	594
"A_23_P105012"	112
"A_23_P105028"	1233.5
"A_23_P105044"	2551
"A_23_P10506"	178
"A_23_P105066"	1322
"A_23_P105088"	90
"A_23_P105118"	89
"A_23_P105138"	1352
"A_23_P105144"	319.5
"A_23_P10518"	120.5
"A_23_P105184"	1456
"A_23_P105197"	122.5
"A_23_P105212"	100
"A_23_P105227"	99.5
"A_23_P10525"	91
"A_23_P105251"	332.5
"A_23_P105264"	341
"A_23_P105276"	864
"A_23_P105307"	174
"A_23_P105313"	3329.5
"A_23_P105368"	123
"A_23_P105382"	233
"A_23_P105392"	21202.4
"A_23_P105409"	182
"A_23_P10542"	119
"A_23_P105423"	104
"A_23_P105436"	135
"A_23_P105442"	1250
"A_23_P105453"	87
"A_23_P105461"	97
"A_23_P105465"	83
"A_23_P105475"	116.5
"A_23_P105495"	110
"A_23_P105519"	1105
"A_23_P105524"	94
"A_23_P105535"	448.5
"A_23_P105545"	104
"A_23_P105562"	186.95
"A_23_P105571"	858
"A_23_P105583"	416
"A_23_P10559"	642
"A_23_P105592"	7167
"A_23_P1056"	570
"A_23_P10561"	79
"A_23_P105619"	285.5
"A_23_P105625"	1494
"A_23_P10564"	72
"A_23_P105646"	724
"A_23_P105651"	70.5
"A_23_P105664"	4484
"A_23_P105691"	94.5
"A_23_P105705"	80
"A_23_P105730"	86
"A_23_P105732"	5018
"A_23_P105747"	350
"A_23_P105753"	550
"A_23_P105794"	131
"A_23_P105803"	138
"A_23_P105815"	246
"A_23_P105833"	504
"A_23_P105856"	99
"A_23_P105862"	179
"A_23_P105873"	74
"A_23_P105886"	86
"A_23_P105900"	8387
"A_23_P10591"	7305
"A_23_P105923"	116
"A_23_P105939"	102
"A_23_P105957"	3658
"A_23_P105963"	130
"A_23_P105973"	321
"A_23_P106"	243
"A_23_P106002"	12168
"A_23_P106016"	279
"A_23_P106024"	248
"A_23_P106042"	95
"A_23_P10605"	556
"A_23_P106056"	5281
"A_23_P106069"	87.5
"A_23_P106080"	88
"A_23_P106103"	96
"A_23_P106117"	483.5
"A_23_P106127"	1179
"A_23_P106131"	5604
"A_23_P10614"	278.5
"A_23_P106145"	4310
"A_23_P106158"	302
"A_23_P106162"	495.5
"A_23_P106174"	103.5
"A_23_P106194"	4285
"A_23_P106204"	628.5
"A_23_P106226"	5984
"A_23_P106236"	90
"A_23_P106241"	2226
"A_23_P106258"	130
"A_23_P106280"	2098.5
"A_23_P106299"	9061
"A_23_P106322"	318
"A_23_P106362"	271
"A_23_P106371"	170.5
"A_23_P106389"	117
"A_23_P106391"	383
"A_23_P10640"	112.5
"A_23_P106405"	670
"A_23_P106412"	1024
"A_23_P106425"	148
"A_23_P106433"	3566
"A_23_P106439"	854
"A_23_P106463"	3001
"A_23_P10647"	322
"A_23_P106472"	9703
"A_23_P106481"	3735
"A_23_P106497"	323
"A_23_P106505"	522.5
"A_23_P106522"	1894
"A_23_P106532"	1722
"A_23_P106544"	6777.5
"A_23_P106559"	118
"A_23_P106562"	708.5
"A_23_P106575"	2616
"A_23_P106602"	114
"A_23_P106617"	585
"A_23_P106629"	167
"A_23_P106633"	2990
"A_23_P106656"	79
"A_23_P106661"	160
"A_23_P106663"	103
"A_23_P106675"	401
"A_23_P106682"	7958
"A_23_P106694"	2114
"A_23_P106708"	92440.2
"A_23_P106720"	297
"A_23_P106727"	1611.5
"A_23_P106737"	628.5
"A_23_P106741"	14091
"A_23_P106761"	859
"A_23_P106773"	2697
"A_23_P106798"	376.5
"A_23_P106806"	106
"A_23_P106814"	159
"A_23_P106822"	2021.5
"A_23_P106835"	1841
"A_23_P106844"	10954
"A_23_P10685"	2067
"A_23_P106859"	6059
"A_23_P106874"	171
"A_23_P106887"	5083
"A_23_P106898"	462
"A_23_P106906"	200
"A_23_P106922"	678
"A_23_P106933"	106
"A_23_P106945"	221.5
"A_23_P106973"	22625.6
"A_23_P10699"	235
"A_23_P106998"	2149
"A_23_P10701"	363
"A_23_P107036"	2133
"A_23_P107048"	735
"A_23_P107051"	364
"A_23_P107064"	121
"A_23_P107073"	8229
"A_23_P107087"	593.5
"A_23_P107102"	84
"A_23_P107116"	427
"A_23_P107132"	83
"A_23_P107154"	1461
"A_23_P107166"	219
"A_23_P107173"	95
"A_23_P1072"	8840
"A_23_P107206"	332.2
"A_23_P10721"	84
"A_23_P107211"	369
"A_23_P107214"	1256
"A_23_P107238"	125.5
"A_23_P107247"	105
"A_23_P107257"	838
"A_23_P107283"	2198.5
"A_23_P107295"	361
"A_23_P107307"	210
"A_23_P107313"	601
"A_23_P107322"	552
"A_23_P107336"	117
"A_23_P107350"	97
"A_23_P107351"	1923
"A_23_P107369"	10845.5
"A_23_P107373"	1251.5
"A_23_P107394"	8818
"A_23_P107401"	5553.5
"A_23_P107412"	9993
"A_23_P107421"	39980.2
"A_23_P10743"	170
"A_23_P107432"	463.5
"A_23_P107443"	79
"A_23_P107454"	195
"A_23_P107465"	147
"A_23_P107483"	110
"A_23_P107507"	669
"A_23_P107513"	336
"A_23_P10753"	87.5
"A_23_P107531"	85
"A_23_P107552"	473
"A_23_P107565"	86
"A_23_P107578"	98
"A_23_P107587"	688.5
"A_23_P107597"	104
"A_23_P107612"	120.5
"A_23_P107623"	80
"A_23_P107644"	23579.6
"A_23_P107653"	12829
"A_23_P107661"	2474
"A_23_P107673"	115.5
"A_23_P107684"	419
"A_23_P107693"	195
"A_23_P107701"	1687.5
"A_23_P107714"	286.5
"A_23_P107724"	255
"A_23_P107735"	640
"A_23_P107744"	125.5
"A_23_P107750"	81
"A_23_P107763"	886
"A_23_P107775"	129
"A_23_P107795"	4580.5
"A_23_P107801"	632
"A_23_P107847"	247.5
"A_23_P10785"	459
"A_23_P107855"	193
"A_23_P107881"	157.5
"A_23_P107894"	537
"A_23_P107903"	577
"A_23_P107911"	184
"A_23_P107933"	237
"A_23_P107942"	414
"A_23_P107959"	3037.5
"A_23_P107963"	186.5
"A_23_P107974"	89
"A_23_P10798"	162.5
"A_23_P107981"	121
"A_23_P107994"	1819
"A_23_P108028"	688.5
"A_23_P108042"	110
"A_23_P108054"	589
"A_23_P108062"	116.5
"A_23_P108075"	167.5
"A_23_P108082"	231
"A_23_P108103"	1160
"A_23_P108129"	169
"A_23_P108135"	7576
"A_23_P108143"	2295
"A_23_P10815"	3103
"A_23_P108157"	133
"A_23_P108170"	148
"A_23_P108180"	83
"A_23_P108200"	141
"A_23_P108216"	90
"A_23_P108221"	89
"A_23_P108244"	6670.5
"A_23_P108265"	128
"A_23_P108280"	154
"A_23_P108294"	716
"A_23_P1083"	98
"A_23_P108303"	6402
"A_23_P108314"	121
"A_23_P108326"	843
"A_23_P108331"	6608.5
"A_23_P108342"	164.5
"A_23_P108376"	716
"A_23_P10839"	1309
"A_23_P108394"	1200
"A_23_P108404"	719.5
"A_23_P108415"	10913.5
"A_23_P108427"	287
"A_23_P108437"	1457
"A_23_P108463"	185.5
"A_23_P108492"	112
"A_23_P108501"	361
"A_23_P108514"	263
"A_23_P108522"	2978
"A_23_P108534"	99
"A_23_P108546"	86
"A_23_P108554"	11833
"A_23_P108564"	91
"A_23_P108574"	958
"A_23_P10858"	512
"A_23_P108592"	93
"A_23_P108604"	2259
"A_23_P108641"	7607
"A_23_P108657"	361
"A_23_P108662"	5877
"A_23_P108673"	534.5
"A_23_P108699"	92.5
"A_23_P10870"	658.5
"A_23_P108708"	6451.5
"A_23_P10873"	184
"A_23_P108734"	86
"A_23_P108743"	88
"A_23_P108751"	13299
"A_23_P108761"	1027.5
"A_23_P108785"	4759
"A_23_P108819"	88
"A_23_P108823"	704
"A_23_P108835"	1003
"A_23_P108842"	1044.5
"A_23_P10885"	124
"A_23_P108871"	1829
"A_23_P108883"	131
"A_23_P108911"	108
"A_23_P108922"	188
"A_23_P108932"	334.5
"A_23_P108948"	814.5
"A_23_P108970"	97.5
"A_23_P108990"	91
"A_23_P108994"	2884.5
"A_23_P109001"	182.5
"A_23_P109017"	1016
"A_23_P10902"	223
"A_23_P109026"	1402.5
"A_23_P109034"	1230
"A_23_P109055"	120
"A_23_P109072"	1900
"A_23_P10911"	229
"A_23_P109122"	1343
"A_23_P109133"	126
"A_23_P109143"	4631.05
"A_23_P109171"	510.5
"A_23_P109184"	128
"A_23_P109193"	102
"A_23_P109201"	12490
"A_23_P109224"	116
"A_23_P109229"	89.5
"A_23_P109235"	1145
"A_23_P109254"	4757.5
"A_23_P109269"	661
"A_23_P10927"	161
"A_23_P109286"	103
"A_23_P109304"	204
"A_23_P109320"	218
"A_23_P109322"	653
"A_23_P109333"	5091
"A_23_P109345"	11680.5
"A_23_P10936"	84
"A_23_P109382"	82.5
"A_23_P109393"	156
"A_23_P109410"	318
"A_23_P109420"	934
"A_23_P109427"	660
"A_23_P109436"	368
"A_23_P109442"	2632
"A_23_P109446"	989.5
"A_23_P109452"	645.5
"A_23_P10947"	108.5
"A_23_P109470"	522
"A_23_P109488"	120
"A_23_P109508"	131
"A_23_P109547"	598
"A_23_P10956"	98.5
"A_23_P109593"	530
"A_23_P109606"	856.5
"A_23_P109614"	76
"A_23_P109636"	1501
"A_23_P109643"	353.5
"A_23_P109655"	532
"A_23_P10966"	139
"A_23_P109677"	10353
"A_23_P109682"	1011
"A_23_P109720"	82
"A_23_P109733"	651
"A_23_P109768"	10573.5
"A_23_P109774"	690
"A_23_P109785"	100
"A_23_P109794"	112
"A_23_P10980"	147
"A_23_P109812"	98
"A_23_P109821"	9566
"A_23_P109843"	88
"A_23_P109864"	195
"A_23_P10987"	445
"A_23_P109877"	572.5
"A_23_P109881"	453
"A_23_P109895"	1230
"A_23_P109907"	29397.5
"A_23_P109913"	76.5
"A_23_P109928"	9560
"A_23_P109934"	291
"A_23_P10995"	92
"A_23_P109950"	282
"A_23_P109964"	98.5
"A_23_P109974"	278
"A_23_P109988"	323.5
"A_23_P110005"	665
"A_23_P110022"	320.5
"A_23_P110031"	454
"A_23_P11005"	3057
"A_23_P110052"	384
"A_23_P110062"	1300
"A_23_P110076"	606
"A_23_P110090"	111
"A_23_P110108"	110
"A_23_P110116"	326
"A_23_P110122"	1629.5
"A_23_P110135"	94
"A_23_P110151"	124
"A_23_P110167"	2651
"A_23_P11017"	220
"A_23_P110175"	91
"A_23_P110184"	604
"A_23_P110196"	240
"A_23_P1102"	246
"A_23_P110204"	102
"A_23_P110212"	921
"A_23_P110234"	102.5
"A_23_P110243"	646.5
"A_23_P11025"	289.5
"A_23_P110253"	177.7
"A_23_P110266"	127
"A_23_P110276"	219
"A_23_P110288"	148
"A_23_P110299"	97
"A_23_P110304"	189.5
"A_23_P110319"	82
"A_23_P11032"	161
"A_23_P110345"	650
"A_23_P110362"	747
"A_23_P110386"	86
"A_23_P110403"	519
"A_23_P110412"	126
"A_23_P110430"	197
"A_23_P110433"	2014.5
"A_23_P110445"	618.5
"A_23_P110462"	114
"A_23_P110473"	686
"A_23_P110492"	1254.5
"A_23_P110504"	4358.5
"A_23_P11051"	153
"A_23_P110531"	6683
"A_23_P110557"	113.5
"A_23_P110569"	235.5
"A_23_P110571"	560.5
"A_23_P110585"	542
"A_23_P110598"	484
"A_23_P110606"	448.5
"A_23_P110611"	532
"A_23_P110624"	1133
"A_23_P110643"	267
"A_23_P110655"	1192
"A_23_P110661"	5500
"A_23_P110686"	2578.5
"A_23_P110699"	132
"A_23_P11070"	98
"A_23_P110704"	2933.5
"A_23_P11071"	2900
"A_23_P110712"	1778
"A_23_P110725"	516.5
"A_23_P110764"	71
"A_23_P110777"	84
"A_23_P110787"	217
"A_23_P110791"	2032
"A_23_P110802"	1734.5
"A_23_P11081"	81
"A_23_P110811"	25732.7
"A_23_P110837"	419
"A_23_P110846"	981.5
"A_23_P110851"	732.2
"A_23_P110879"	193.5
"A_23_P110882"	978.5
"A_23_P110896"	202
"A_23_P110903"	126
"A_23_P110941"	536
"A_23_P110957"	2094.5
"A_23_P110961"	3224
"A_23_P111000"	2566
"A_23_P111005"	3314.5
"A_23_P111020"	128
"A_23_P11103"	92
"A_23_P111037"	6260
"A_23_P111041"	1338
"A_23_P111054"	1210
"A_23_P111088"	96.5
"A_23_P111092"	2128.5
"A_23_P111112"	5505.5
"A_23_P111126"	201
"A_23_P111132"	12475.5
"A_23_P111141"	3038
"A_23_P111155"	97.5
"A_23_P111171"	355
"A_23_P111188"	199
"A_23_P11119"	82
"A_23_P111194"	394
"A_23_P111206"	223.5
"A_23_P111228"	442
"A_23_P111240"	491
"A_23_P111260"	390
"A_23_P111267"	236.5
"A_23_P111273"	8034.5
"A_23_P111288"	11071
"A_23_P111297"	1321
"A_23_P111303"	1120
"A_23_P111306"	836.5
"A_23_P111311"	232
"A_23_P111321"	132.5
"A_23_P111343"	1243
"A_23_P111360"	242
"A_23_P111361"	103
"A_23_P111373"	1531.5
"A_23_P111381"	916.5
"A_23_P111395"	87
"A_23_P111402"	80
"A_23_P111413"	181
"A_23_P11144"	103.5
"A_23_P111452"	5570
"A_23_P111480"	111
"A_23_P111481"	11455
"A_23_P111487"	364
"A_23_P111492"	155
"A_23_P111506"	9518
"A_23_P111517"	110
"A_23_P111525"	1124
"A_23_P111531"	1521
"A_23_P111571"	13044
"A_23_P111583"	218
"A_23_P111593"	161
"A_23_P11160"	300
"A_23_P111604"	90
"A_23_P111621"	2416.5
"A_23_P111635"	782
"A_23_P111657"	91
"A_23_P111662"	88
"A_23_P111672"	321
"A_23_P111698"	114
"A_23_P1117"	116.5
"A_23_P111701"	5163
"A_23_P111712"	292
"A_23_P111724"	88
"A_23_P111737"	130
"A_23_P111745"	1121
"A_23_P111753"	7785
"A_23_P111766"	6585
"A_23_P111797"	1931.5
"A_23_P111804"	430
"A_23_P111811"	1234
"A_23_P111826"	87.5
"A_23_P111835"	5137
"A_23_P111843"	7180
"A_23_P111860"	823
"A_23_P111865"	233
"A_23_P111888"	1030
"A_23_P111919"	114
"A_23_P11192"	8159
"A_23_P111929"	158
"A_23_P111947"	80
"A_23_P111961"	1465.5
"A_23_P111978"	111
"A_23_P111981"	237
"A_23_P111995"	5391.95
"A_23_P112004"	139.5
"A_23_P11201"	95
"A_23_P112016"	96
"A_23_P112026"	452
"A_23_P112061"	1822
"A_23_P112078"	195
"A_23_P112086"	77
"A_23_P112100"	86
"A_23_P112103"	373.5
"A_23_P112113"	1467
"A_23_P112135"	4675
"A_23_P11214"	1209
"A_23_P112159"	839.5
"A_23_P112162"	887
"A_23_P112173"	75
"A_23_P112187"	100
"A_23_P112201"	493
"A_23_P112220"	201
"A_23_P11224"	2049
"A_23_P112241"	1001.5
"A_23_P112251"	3672.5
"A_23_P112260"	1383
"A_23_P112275"	86
"A_23_P112289"	152
"A_23_P112296"	100
"A_23_P112311"	240.5
"A_23_P112327"	88.5
